sample,behavior,segments,full_prevalence,isolated_prevalence,prevalence_delta_full_minus_isolated,agreement,kappa,context_sensitivity,local_recoverability,context_only_share_of_full_positive,isolated_only_share_of_isolated_positive,isolated_precision_if_full_reference,n_prompt_clusters,context_sensitivity_ci_lo,context_sensitivity_ci_hi,local_recoverability_ci_lo,local_recoverability_ci_hi,kappa_ci_lo,kappa_ci_hi,prevalence_delta_full_minus_isolated_ci_lo,prevalence_delta_full_minus_isolated_ci_hi
exclude_full_context_truncation,Question_and_Answering,4634869.0,0.09361429632639023,0.10412397847706159,-0.010509682150671357,0.9714535621179369,0.8398456510427121,0.028546437882063118,0.9036645232662657,0.09633547673373435,0.18754623384535052,0.8124537661546495,3488,0.02796073911779133,0.029211708349299273,0.9014732111012669,0.9057973595571,0.8376957723815216,0.841775426379932,-0.010898000063179985,-0.010149638732975938
exclude_full_context_truncation,Perspective_Shift,4634869.0,0.1493379856043396,0.17697911203099806,-0.027641126426658447,0.936406185374387,0.7674455059214583,0.06359381462561293,0.8796264458320451,0.12037355416795491,0.25775624028527017,0.7422437597147298,3488,0.06286006482690189,0.06419442481550311,0.8775665640103634,0.881523106835658,0.76511121300117,0.7701049622090527,-0.028247223233497477,-0.027002303068170388
exclude_full_context_truncation,Conflict_of_Perspectives,4634869.0,0.06711063462635082,0.08905580718678349,-0.02194517256043267,0.9640980144206881,0.7510493418357089,0.03590198557931195,0.896016383270803,0.10398361672919701,0.32478038191500186,0.6752196180849981,3488,0.03525410955013324,0.036494846029151644,0.8933553799847023,0.8985718529625426,0.7477380681441147,0.754833299488236,-0.022484284779958334,-0.02135024806797909
exclude_full_context_truncation,Reconciliation,4634869.0,0.04403166518837965,0.04464182267071626,-0.0006101574823366082,0.9704198759447139,0.6509397804336468,0.029580124055286136,0.6710325802009987,0.3289674197990014,0.33813898863751696,0.661861011362483,3488,0.028915788608889156,0.030391909531680555,0.6637854120599253,0.6762687902327069,0.6438901621897339,0.656099229856279,-0.0009904352092552314,-0.00022175243529907456
exclude_full_context_truncation,verification,4634869.0,0.16901642743300835,0.16580554919675183,0.0032108782362565147,0.9268087188656249,0.7374532252525235,0.0731912811343751,0.7739800783538792,0.22601992164612078,0.2110315464022163,0.7889684535977837,3488,0.07212287708022597,0.07431608490268418,0.7705248323772041,0.7770889951516506,0.7342080408605766,0.7401680058606416,0.002336270598195167,0.00408595114542118
exclude_full_context_truncation,backtracking,4634869.0,0.03595139366398489,0.05327421335964404,-0.017322819695659145,0.9728076456961351,0.6815698724537806,0.0271923543038649,0.8627378023165096,0.13726219768349038,0.4177928794462962,0.5822071205537038,3488,0.026491762321479935,0.027891981207837365,0.8595815397882738,0.8657949323354857,0.6765542922121943,0.6871212907947338,-0.017832670633092147,-0.016761356747475604
exclude_full_context_truncation,subgoal,4634869.0,0.05439312308503218,0.06440570380737838,-0.010012580722346204,0.9698509278255761,0.7303119023560298,0.030149072174423915,0.8148985541738561,0.18510144582614388,0.31178646084579514,0.6882135391542048,3488,0.02963824695618961,0.03059914680848944,0.8106505156034678,0.818822818478254,0.7265618826736794,0.7340915246134911,-0.010432261472010974,-0.009598558035215565
exclude_full_context_truncation,backward_chaining,4634869.0,0.0074931999156826225,0.011870885671202357,-0.0043776857555197345,0.992508094619287,0.6095156035630528,0.007491905380713025,0.792196947883674,0.20780305211632594,0.4999454743729553,0.5000545256270447,3488,0.006986433314580365,0.008008519294556085,0.7803603036959682,0.8043428092410494,0.5939415764197301,0.6249742970674846,-0.004729536128367542,-0.004000404577009561
exclude_full_context_truncation,dialectical_family_micro,18539476.0,0.08852364543636508,0.10370018009138986,-0.015176534655024776,0.9605944094644314,0.7733539266477225,0.03940559053556854,0.8631492424362441,0.13685075756375586,0.2631727598857141,0.7368272401142859,3488,0.03898437745249041,0.0398542236914558,0.8618246035031748,0.8644575157063148,0.7717056392762988,0.7753172976384178,-0.015413931612288502,-0.01493302757536467
exclude_full_context_truncation,control_family_micro,18539476.0,0.066713536024427,0.07383908800874416,-0.007125551984317149,0.9654938467516557,0.7359906373806083,0.03450615324834424,0.7947897616009909,0.2052102383990091,0.28190831140636025,0.7180916885936397,3488,0.03419347549976898,0.03485863117259305,0.792229697560572,0.7971099850095018,0.7332171056710638,0.7386657469660126,-0.007424216201502658,-0.006809594833918562
