context,domain,block,n,prevalence,auroc,average_precision,brier,counts_auroc,delta_auroc_over_counts
full,gpqa,+cross_family_motifs,2620,0.6908396946564885,0.7393711206602551,0.8528202367806089,0.18252049556097977,0.7382450037514494,0.0011261169088057077
full,gpqa,+all_motifs,2620,0.6908396946564885,0.7359948161789782,0.8503951586595228,0.18335581046927193,0.7382450037514494,-0.002250187572471196
full,planning,metadata+length,2817,0.8590699325523606,0.7574213626995857,0.9508426677550199,0.11047648480771109,0.78799987509628,-0.03057851239669429
full,planning,+counts,2817,0.8590699325523606,0.78799987509628,0.955466062307817,0.10746354034354806,0.78799987509628,0.0
full,planning,+coarse_timing,2817,0.8590699325523606,0.7933238961633741,0.9572710314197277,0.10656118398676424,0.78799987509628,0.005324021067094065
full,planning,+within_family_motifs,2817,0.8590699325523606,0.7907664924953681,0.955581199279207,0.1074854601846231,0.78799987509628,0.0027666173990881227
full,planning,+cross_family_motifs,2817,0.8590699325523606,0.7918750130108042,0.9562402823709878,0.10662967108717789,0.78799987509628,0.003875137914524207
full,planning,+all_motifs,2817,0.8590699325523606,0.7936746674438454,0.9563799706836994,0.10680388476554903,0.78799987509628,0.005674792347565405
full,moral,metadata+length,2902,0.5017229496898691,0.4766034665541927,0.494507099559439,0.2511014492287221,0.5180509324700197,-0.04144746591582693
full,moral,+counts,2902,0.5017229496898691,0.5180509324700197,0.5118722052464284,0.25110571087442296,0.5180509324700197,0.0
full,moral,+coarse_timing,2902,0.5017229496898691,0.5213011832565775,0.5146987775749371,0.25124301957522316,0.5180509324700197,0.003250250786557829
full,moral,+within_family_motifs,2902,0.5017229496898691,0.5188982870518141,0.5120764940618197,0.2515454584061628,0.5180509324700197,0.0008473545817944128
full,moral,+cross_family_motifs,2902,0.5017229496898691,0.5105743582143997,0.5046855498847498,0.2518974638277305,0.5180509324700197,-0.007476574255619983
full,moral,+all_motifs,2902,0.5017229496898691,0.511800742480203,0.502025937488246,0.25234995414896566,0.5180509324700197,-0.006250189989816635
full,idea,metadata+length,2496,0.7119391025641025,0.5909594313993596,0.768016271017592,0.20086931900821048,0.5886622685324691,0.002297162866890523
full,idea,+counts,2496,0.7119391025641025,0.5886622685324691,0.7631286864102615,0.20153503584228047,0.5886622685324691,0.0
full,idea,+coarse_timing,2496,0.7119391025641025,0.5887530592965438,0.764172896536868,0.20170933194622828,0.5886622685324691,9.079076407469966e-05
full,idea,+within_family_motifs,2496,0.7119391025641025,0.5989928486619711,0.7730564286054037,0.2005390311067308,0.5886622685324691,0.010330580129502054
full,idea,+cross_family_motifs,2496,0.7119391025641025,0.5914039930717255,0.7629644343829332,0.20148056641523218,0.5886622685324691,0.0027417245392564737
full,idea,+all_motifs,2496,0.7119391025641025,0.5979604950601215,0.7679616608262811,0.20102961141982467,0.5886622685324691,0.009298226527652442
full,safety,metadata+length,1594,0.9278544542032622,0.9423494135285299,0.9952868382045813,0.04496840156634301,0.9417291354322839,0.0006202780962459853
full,safety,+counts,1594,0.9278544542032622,0.9417291354322839,0.9952086114336203,0.04529225186226662,0.9417291354322839,0.0
full,safety,+coarse_timing,1594,0.9278544542032622,0.9392656612870035,0.9947122439409831,0.04478371969354869,0.9417291354322839,-0.0024634741452803643
full,safety,+within_family_motifs,1594,0.9278544542032622,0.940100537966311,0.9950341819727786,0.04555141896813643,0.9417291354322839,-0.0016285974659728808
full,safety,+cross_family_motifs,1594,0.9278544542032622,0.9348031866419731,0.9942089122066294,0.04605917260654592,0.9417291354322839,-0.006925948790310721
full,safety,+all_motifs,1594,0.9278544542032622,0.9322280036452362,0.993825840261052,0.046130940625949364,0.9417291354322839,-0.0095011317870477
full,security,metadata+length,2238,0.7064343163538874,0.7259763727752603,0.8513075720414948,0.17710688850853828,0.7609088904870143,-0.034932517711753985
full,security,+counts,2238,0.7064343163538874,0.7609088904870143,0.870407761368569,0.17070046496916333,0.7609088904870143,0.0
full,security,+coarse_timing,2238,0.7064343163538874,0.7591268844160632,0.8698072419242106,0.17137380952887948,0.7609088904870143,-0.0017820060709510255
full,security,+within_family_motifs,2238,0.7064343163538874,0.761602053302295,0.8716773932767474,0.17107025145184918,0.7609088904870143,0.0006931628152807567
full,security,+cross_family_motifs,2238,0.7064343163538874,0.7613690735782701,0.8714272615002057,0.17115738323234755,0.7609088904870143,0.0004601830912558391
full,security,+all_motifs,2238,0.7064343163538874,0.762730368329391,0.8721065796543274,0.17133046315651465,0.7609088904870143,0.0018214778423767397
isolated,math,metadata+length,2768,0.5820086705202312,0.6318758728211995,0.6859930642903751,0.23043454171415445,0.6352241799169174,-0.003348307095717873
isolated,math,+counts,2768,0.5820086705202312,0.6352241799169174,0.7153834784249785,0.23002815835594498,0.6352241799169174,0.0
isolated,math,+coarse_timing,2768,0.5820086705202312,0.6339191395371171,0.7155108475979242,0.2301223112824947,0.6352241799169174,-0.0013050403798002819
isolated,math,+within_family_motifs,2768,0.5820086705202312,0.6383434007876918,0.7176314920324397,0.2296949306040316,0.6352241799169174,0.0031192208707744307
isolated,math,+cross_family_motifs,2768,0.5820086705202312,0.6395655516551882,0.7200912994923104,0.22987603977240062,0.6352241799169174,0.004341371738270872
isolated,math,+all_motifs,2768,0.5820086705202312,0.6406050236945975,0.720915190231752,0.2297487792413778,0.6352241799169174,0.005380843777680111
isolated,code,metadata+length,871,0.6016073478760046,0.7536023054755043,0.7682479105995722,0.19500627472229992,0.8607970169610841,-0.1071947114855798
isolated,code,+counts,871,0.6016073478760046,0.8607970169610841,0.9035474196533192,0.14708978692338695,0.8607970169610841,0.0
isolated,code,+coarse_timing,871,0.6016073478760046,0.8629364014343226,0.9023071422444512,0.14579393944295094,0.8607970169610841,0.0021393844732384704
isolated,code,+within_family_motifs,871,0.6016073478760046,0.8619024572673075,0.9025299666601777,0.14620731023971553,0.8607970169610841,0.001105440306223393
isolated,code,+cross_family_motifs,871,0.6016073478760046,0.8620784477638207,0.8982778228526127,0.14544670479948485,0.8607970169610841,0.0012814308027365717
isolated,code,+all_motifs,871,0.6016073478760046,0.8640473414435621,0.9021968648169093,0.1448826368224953,0.8607970169610841,0.003250324482477973
isolated,gpqa,metadata+length,2620,0.6908396946564885,0.7153154627924425,0.8381253760084791,0.18866891431612404,0.7337398540345134,-0.018424391242070848
isolated,gpqa,+counts,2620,0.6908396946564885,0.7337398540345134,0.8469178276926248,0.18386247585215768,0.7337398540345134,0.0
isolated,gpqa,+coarse_timing,2620,0.6908396946564885,0.7324138871836846,0.8458271704311717,0.18416585522630133,0.7337398540345134,-0.0013259668508287525
isolated,gpqa,+within_family_motifs,2620,0.6908396946564885,0.733362662847009,0.8466389374933893,0.18426566717280066,0.7337398540345134,-0.00037719118750434433
isolated,gpqa,+cross_family_motifs,2620,0.6908396946564885,0.7368590137098424,0.8506489948603253,0.18314126811398837,0.7337398540345134,0.003119159675329053
isolated,gpqa,+all_motifs,2620,0.6908396946564885,0.735740399699884,0.8478172640102023,0.18378345266713458,0.7337398540345134,0.0020005456653706677
