family,lower_model,higher_model,domain,metric,n_matched_prompts,mean_difference_higher_minus_lower,ci_lo,ci_hi
Qwen,qwen35_4b,qwen35_9b,moral,control_centroid,409,0.014675759407423595,0.007236208178547899,0.021568801942889317
Qwen,qwen35_4b,qwen35_9b,moral,coupling_excess,409,0.002867033231535283,-0.0009565224836271285,0.006765881939719498
Qwen,qwen35_4b,qwen35_9b,idea,dialectical_amount,132,-0.06066741590791133,-0.07878614075317085,-0.0417669569879826
Qwen,qwen35_4b,qwen35_9b,idea,control_amount,132,-0.04249562604400532,-0.055014431397080656,-0.029713878975995915
Qwen,qwen35_4b,qwen35_9b,idea,dialectical_centroid,132,0.008346061515396977,0.0009102679945045384,0.014470968009400304
Qwen,qwen35_4b,qwen35_9b,idea,control_centroid,132,0.01744345066342701,0.008212484550213138,0.025791278852152547
Qwen,qwen35_4b,qwen35_9b,idea,coupling_excess,132,0.0017113690193599476,-0.0020818169996710567,0.006457322257817306
Qwen,qwen35_4b,qwen35_9b,safety,dialectical_amount,286,-0.00024842439293249814,-0.012871944413572894,0.012005372008155374
Qwen,qwen35_4b,qwen35_9b,safety,control_amount,286,0.003794582673038185,-0.01004211563375949,0.015627948458694023
Qwen,qwen35_4b,qwen35_9b,safety,dialectical_centroid,277,-0.0032483265814914055,-0.016092987824794357,0.010023968262880503
Qwen,qwen35_4b,qwen35_9b,safety,control_centroid,278,0.01898601146036117,0.004982719103118701,0.03208016012713666
Qwen,qwen35_4b,qwen35_9b,safety,coupling_excess,286,-0.001943571369956493,-0.007948659974400434,0.004624422872709238
Qwen,qwen35_4b,qwen35_9b,security,dialectical_amount,172,-0.017513240665272253,-0.03536551621262865,-0.0007860357309687203
Qwen,qwen35_4b,qwen35_9b,security,control_amount,172,0.004727621117282337,-0.008828237005245937,0.017126515845319875
Qwen,qwen35_4b,qwen35_9b,security,dialectical_centroid,172,-0.005141423526874597,-0.017382420942310926,0.006372078590849296
Qwen,qwen35_4b,qwen35_9b,security,control_centroid,172,0.020740807788977935,0.006929439614306025,0.03259889127583943
Qwen,qwen35_4b,qwen35_9b,security,coupling_excess,172,-0.004269476593871247,-0.010365586969810867,0.0016853278507769005
