gen_model,model_label,task_type,domain,signature_family,layer,behavior,behavior_label,n_domain,shapley_gain,shapley_ci_low,shapley_ci_high,shapley_p_value,shapley_unit,direction_effect,direction_ci_low,direction_ci_high,direction_unit,shapley_q_value,supported
reasoner,DeepSeek-R1 Distill 8B,security,Security,conversational,amount,Perspective_Shift,Perspective shift,398,0.14298396773672328,0.08315657913274926,0.19371711387049248,0.000999000999000999,bits per held-out trace,-0.23237490294575516,-0.30861979249498983,-0.1563641550473454,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,security,Security,conversational,amount,Conflict_of_Perspectives,Perspective conflict,398,0.003514735021743227,-0.024421125333901225,0.03153143451370291,0.4225774225774226,bits per held-out trace,-0.011380088119667921,-0.11919728188535518,0.0938211005397711,standardized rate difference: domain minus other domains,0.4545370595790764,False
reasoner,DeepSeek-R1 Distill 8B,security,Security,conversational,amount,Reconciliation,Reconciliation,398,0.05170643005852731,0.015299056806029785,0.08558599466660799,0.002997002997002997,bits per held-out trace,-0.1779937961781508,-0.25061960644083087,-0.0951541037182053,standardized rate difference: domain minus other domains,0.004392554010874622,True
reasoner,DeepSeek-R1 Distill 8B,math,Math,cognitive,amount,verification,Verification,498,0.4806156455774755,0.4156734499688923,0.5414092995213022,0.000999000999000999,bits per held-out trace,0.42372575040114796,0.31713014823877106,0.5282585997467322,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,math,Math,cognitive,amount,backtracking,Backtracking,498,0.11561615229776086,0.08454929599876802,0.14581586571708754,0.000999000999000999,bits per held-out trace,-0.3935599101557092,-0.4573930096442847,-0.3270247310129215,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,math,Math,cognitive,amount,subgoal,Subgoal setting,498,0.019157899603472486,-0.043401273655351576,0.0750312769137612,0.2827172827172827,bits per held-out trace,0.7841440655278749,0.6074059512875342,0.9605780411955621,standardized rate difference: domain minus other domains,0.31107001880640844,False
reasoner,DeepSeek-R1 Distill 8B,math,Math,cognitive,amount,backward_chaining,Backward chaining,498,-0.01854467484283534,-0.07647677147604562,0.011983219581700165,0.4985014985014985,bits per held-out trace,-0.04381590282412701,-0.15111085558181428,0.10980532076911728,standardized rate difference: domain minus other domains,0.5317349317349318,False
reasoner,DeepSeek-R1 Distill 8B,code,Code,cognitive,amount,verification,Verification,154,0.0807489148676796,0.03807229272860642,0.12088823006238374,0.000999000999000999,bits per held-out trace,0.6770754971343167,0.5595691154605534,0.8018454663271556,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,code,Code,cognitive,amount,backtracking,Backtracking,154,0.11987115975730764,0.041760600428531254,0.18928862878141053,0.000999000999000999,bits per held-out trace,0.5023286076672965,0.39534311445480796,0.6168454033592735,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,code,Code,cognitive,amount,subgoal,Subgoal setting,154,0.30983954138161585,0.21225571485882672,0.4022090136021927,0.000999000999000999,bits per held-out trace,-0.18249737215287098,-0.24919550652245184,-0.10972908149171241,standardized rate difference: domain minus other domains,0.001510300722899148,True
