gen_model,model_label,signature_family,domain_a,domain_b,domain_pair,n,n_domain_a,n_domain_b,length_auroc,amount_auroc,full_auroc,amount_gain_bits,amount_gain_ci_low,amount_gain_ci_high,amount_p_value,timing_gain_bits,timing_gain_ci_low,timing_gain_ci_high,timing_p_value,class_order,amount_q_value,timing_q_value,amount_supported,timing_supported
qwen35_9b,Qwen3.5 9B,conversational,math,gpqa,Math – GPQA,861,439,422,0.7348562545207225,0.8976616394433709,0.895605048095089,0.2737868413366461,0.22122753681556068,0.3233850284135155,0.000999000999000999,-0.008600656067829617,-0.03236397655701759,0.011119074324967775,0.7392607392607392,gpqa|math,0.0012030979772915257,0.827972027972028,True,False
qwen35_9b,Qwen3.5 9B,conversational,math,planning,Math – Planning,932,439,493,0.8280436359603931,0.8617178078520702,0.8743548633026378,0.07122956381304126,0.03694001914114279,0.10063549465260198,0.000999000999000999,0.044245701234046926,0.016543133016743785,0.07053629699983535,0.000999000999000999,math|planning,0.0012030979772915257,0.006850292564578279,True,True
qwen35_9b,Qwen3.5 9B,conversational,math,moral,Math – Moral,924,439,485,0.7507502994152596,0.9564708921400559,0.9605476363807153,0.45981758928588984,0.4000476532551307,0.517528701937981,0.000999000999000999,0.022150307817983373,-0.006484734271431443,0.04891579294265757,0.05194805194805195,math|moral,0.0012030979772915257,0.1264822134387352,True,False
qwen35_9b,Qwen3.5 9B,conversational,math,idea,Math – Idea,783,439,344,0.6179345234941993,0.9998212109975102,0.999774858293161,0.9164144135837952,0.8948933488808818,0.9380916757024028,0.000999000999000999,4.3612751780749004e-05,-0.0112828837946457,0.009139442709454632,0.5194805194805194,idea|math,0.0012030979772915257,0.6550464460912222,True,False
qwen35_9b,Qwen3.5 9B,conversational,math,safety,Math – Safety,747,439,308,0.9239046830163004,0.9566606514214715,0.9652397716179038,0.10629674033242756,0.07287820980569872,0.13717955825790096,0.000999000999000999,0.03231465494486628,0.007482672678789623,0.05980349259092659,0.003996003996003996,math|safety,0.0012030979772915257,0.01945880206749772,True,True
qwen35_9b,Qwen3.5 9B,conversational,math,security,Math – Security,742,439,303,0.6425043415503282,0.8668666411060241,0.8707834336964448,0.30068803686973755,0.24617147061497563,0.34899664498550254,0.000999000999000999,0.010644376880846892,-0.010525383416214937,0.031369512338294894,0.16483516483516483,math|security,0.0012030979772915257,0.29304029304029305,True,False
qwen35_9b,Qwen3.5 9B,conversational,code,gpqa,Code – GPQA,553,131,422,0.6728048912846858,0.8963134474150718,0.8844108389710936,0.1251021553695192,-0.06747070157233337,0.2545049147718701,0.04495504495504495,-0.016362664344115846,-0.06863562576651058,0.03303608419394885,0.7362637362637363,code|gpqa,0.0500162089566063,0.8273732956007205,False,False
qwen35_9b,Qwen3.5 9B,conversational,code,planning,Code – Planning,624,131,493,0.7776504652927241,0.9366861248316121,0.9379712927550594,0.14037433911521235,-0.0319876798165972,0.2636387191450114,0.029970029970029972,0.015467940155697737,-0.01158792739293316,0.04336402791832708,0.14185814185814186,code|planning,0.03379171164406064,0.2618919541996465,False,False
qwen35_9b,Qwen3.5 9B,conversational,code,moral,Code – Moral,616,131,485,0.6334146533406784,0.9035334854804439,0.9091052175966003,0.22389738979011245,0.04995653598494437,0.35707129016371614,0.001998001998001998,0.016862281967571557,-0.028230457260910106,0.055556768423041185,0.22677322677322678,code|moral,0.002355539197644461,0.37168684973563026,True,False
qwen35_9b,Qwen3.5 9B,conversational,code,idea,Code – Idea,475,131,344,0.6697807562577668,0.9715515710988816,0.9805387892774721,0.4864436791766087,0.29399894087434997,0.6311914477289831,0.000999000999000999,0.05570139545569005,0.009201665001757255,0.0983410032283642,0.004995004995004995,code|idea,0.0012030979772915257,0.022377622377622378,True,True
qwen35_9b,Qwen3.5 9B,conversational,code,safety,Code – Safety,439,131,308,0.8828194706057302,0.9203182313869337,0.9228462377317339,-0.02712375779540656,-0.263191729035416,0.10820925446793413,0.5104895104895105,0.0022285311443475376,-0.04378591424290165,0.04599852422124897,0.46253746253746253,code|safety,0.5197711379529562,0.6094611271081859,False,False
qwen35_9b,Qwen3.5 9B,conversational,code,security,Code – Security,434,131,303,0.6819590355982164,0.8176756606958405,0.822915879374197,0.025341147798863175,-0.18384198879906816,0.16225765527892794,0.4985014985014985,0.019009112894158138,-0.030664553883210873,0.0654820258726359,0.19880119880119881,code|security,0.5106600716356814,0.34251462822891393,False,False
qwen35_9b,Qwen3.5 9B,conversational,gpqa,planning,GPQA – Planning,915,422,493,0.8565028887842112,0.9379368024379224,0.9437720504119281,0.2575610221342422,0.20337457912657878,0.3085521222854102,0.000999000999000999,0.020081157145197176,-0.010530978923619184,0.048805568246858916,0.09290709290709291,gpqa|planning,0.0012030979772915257,0.20139860139860138,True,False
qwen35_9b,Qwen3.5 9B,conversational,gpqa,moral,GPQA – Moral,907,422,485,0.9605169296916989,0.9745688180974251,0.9762740020520838,0.05936300309844527,0.02585887767626518,0.08760008333627713,0.000999000999000999,0.016761052292932534,-0.01492101082932308,0.05180407073172451,0.2037962037962038,gpqa|moral,0.0012030979772915257,0.34409811294233406,True,False
qwen35_9b,Qwen3.5 9B,conversational,gpqa,idea,GPQA – Idea,766,422,344,0.8945290973217238,0.995308883500496,0.9966246004629119,0.49307218514438816,0.4221666238032889,0.5637252031122587,0.000999000999000999,0.025381163590922913,0.0010264399348431017,0.0515036169344076,0.023976023976023976,gpqa|idea,0.0012030979772915257,0.07323585505403687,True,False
qwen35_9b,Qwen3.5 9B,conversational,gpqa,safety,GPQA – Safety,730,422,308,0.9918908106111898,0.9924832276728012,0.9896673231981289,-0.0048387111823290675,-0.020143255584567858,0.007966915989367801,0.7572427572427572,-0.02479071921505376,-0.04229916907200853,-0.007394208613813505,0.997002997002997,gpqa|safety,0.7595031833837804,0.997002997002997,False,False
qwen35_9b,Qwen3.5 9B,conversational,gpqa,security,GPQA – Security,725,422,303,0.8250981496253891,0.844524736833873,0.8506483349756777,0.016674948290815332,-0.006156425470146266,0.03654357904333921,0.06693306693306693,0.006728480309913325,-0.020284702112684728,0.03323194913388801,0.2937062937062937,gpqa|security,0.07278158734469413,0.43473706909830256,False,False
qwen35_9b,Qwen3.5 9B,conversational,planning,moral,Planning – Moral,978,493,485,0.9420380167708747,0.98930177118839,0.9917525773195877,0.268524748660695,0.21262670399903036,0.3239076084732079,0.000999000999000999,0.022981607044509227,-0.016115102633076004,0.0647128207463928,0.11888111888111888,moral|planning,0.0012030979772915257,0.23635536061571566,True,False
qwen35_9b,Qwen3.5 9B,conversational,planning,idea,Planning – Idea,837,493,344,0.8768102268974952,0.9999646209726873,0.9998584838907496,0.7045026035375518,0.6424253788018555,0.7744429437980259,0.000999000999000999,0.0010799991971077992,-0.008191253968461702,0.008067613970741485,0.39760239760239763,idea|planning,0.0012030979772915257,0.5511525511525511,True,False
qwen35_9b,Qwen3.5 9B,conversational,planning,safety,Planning – Safety,801,493,308,0.9815534364215905,0.9940596928426543,0.994909248966044,0.07800087290033696,0.05195765930954528,0.10635080347382604,0.000999000999000999,0.014682310227433682,-0.008233730726444115,0.03292704017943432,0.08291708291708291,planning|safety,0.0012030979772915257,0.18090999909181726,True,False
qwen35_9b,Qwen3.5 9B,conversational,planning,security,Planning – Security,796,493,303,0.7784293642345979,0.9102551228753707,0.9157244324838163,0.2635364224559871,0.2114187634505483,0.31174187600655145,0.000999000999000999,0.00776087619663753,-0.01494080038730944,0.03026106731249245,0.2677322677322677,planning|security,0.0012030979772915257,0.40890019071837247,True,False
qwen35_9b,Qwen3.5 9B,conversational,moral,idea,Moral – Idea,829,485,344,0.9308439223207864,0.996961160393191,0.9976564373052026,0.3808510560214527,0.32332243989727716,0.44264418749900597,0.000999000999000999,0.013588278027029662,-0.009456897890226242,0.03674048480900735,0.13386613386613386,idea|moral,0.0012030979772915257,0.2555626191989828,True,False
qwen35_9b,Qwen3.5 9B,conversational,moral,safety,Moral – Safety,793,485,308,0.9918663810416388,0.9928504485205516,0.9932855803989825,0.011027070065239357,-0.0035251003871754442,0.026183350422864207,0.057942057942057944,0.0041561160233752085,-0.004805307619088649,0.01372453972091257,0.1838161838161838,moral|safety,0.06362265185794598,0.3183620503208132,False,False
qwen35_9b,Qwen3.5 9B,conversational,moral,security,Moral – Security,788,485,303,0.7860501514068933,0.8436664284985199,0.8495253649076248,0.0874200901526406,0.04822286730884137,0.12665021529662676,0.000999000999000999,0.0075065817521679365,-0.015491442795579286,0.030947903590789378,0.23976023976023977,moral|security,0.0012030979772915257,0.3799973611294366,True,False
qwen35_9b,Qwen3.5 9B,conversational,idea,safety,Idea – Safety,652,344,308,0.9986031410450015,0.999820673512534,0.9996507852612504,0.038026175617869716,0.01835069061314659,0.05679452472226641,0.000999000999000999,-0.005118134470771623,-0.012635515692105515,0.0010586444103741273,0.929070929070929,idea|safety,0.0012030979772915257,0.966463876680595,True,False
qwen35_9b,Qwen3.5 9B,conversational,idea,security,Idea – Security,647,344,303,0.569633126103308,0.9881994013354823,0.9920369943971141,0.7925052103378751,0.7387997764623047,0.8402329349874508,0.000999000999000999,0.03422018045849511,0.008477671104827264,0.06101090252638172,0.012987012987012988,idea|security,0.0012030979772915257,0.04692082111436951,True,True
qwen35_9b,Qwen3.5 9B,conversational,safety,security,Safety – Security,611,308,303,0.8741642021344992,0.9057798637006558,0.9202777420599203,0.03497892479383836,0.0015508650340912524,0.07069781506329868,0.02197802197802198,0.028650066339488717,-0.010107118150138362,0.0666846270060002,0.07992007992007992,safety|security,0.02494802494802495,0.1778354096234891,True,False
qwen35_9b,Qwen3.5 9B,cognitive,math,code,Math – Code,570,439,131,0.5380896903093428,0.8873741501330227,0.8784711958128293,0.2616929288099819,0.185965726636369,0.32732746663026285,0.000999000999000999,-0.004492602245751961,-0.03108537098512975,0.01949894365601362,0.6163836163836164,code|math,0.0012030979772915257,0.7241429898772556,True,False
qwen35_9b,Qwen3.5 9B,cognitive,math,gpqa,Math – GPQA,861,439,422,0.7348562545207225,0.8454047868378154,0.8508512452903518,0.1550516194840087,0.11190297820604149,0.20155097218593404,0.000999000999000999,0.005745023242765084,-0.01045827893796322,0.02084703687109227,0.24475524475524477,gpqa|math,0.0012030979772915257,0.3838383838383838,True,False
qwen35_9b,Qwen3.5 9B,cognitive,math,planning,Math – Planning,932,439,493,0.8280436359603931,0.9336589242562158,0.9312146820868006,0.2679308681813621,0.22097175708973016,0.3190864986668616,0.000999000999000999,-0.001978904569758904,-0.01118277906676706,0.006865045153897603,0.6753246753246753,math|planning,0.0012030979772915257,0.7703212042195092,True,False
