replicate,family_separation
108,-0.007402290750646842
109,0.0005297129822270791
110,-0.006862302092263031
111,-0.032397827582363765
112,-0.02456280379514347
113,0.0022202386505010066
114,-0.015406724591792598
115,-0.010399364381283242
116,0.013611267314250539
117,-0.012577559829548945
118,-0.022404067593051476
119,-0.05311587277791997
120,-0.049256774751434244
121,0.015772132457685314
122,0.013761790736471588
123,-0.00725328100189622
124,-0.004872693825677787
125,-0.028546647393127535
126,-0.005512837918009772
127,-0.0017483254434759801
128,-0.01714774154420501
129,-0.03780003462490051
130,0.0073723552508679555
131,-0.03766425377205981
132,-0.019748514254828146
133,-0.019040558959710747
134,0.012257044987796187
135,-0.027755591526637938
136,-0.024455572457088785
137,-0.060992218953231876
138,-0.012651558608762686
139,-0.016817971538186885
140,-0.011655307247017167
141,0.020529143592401614
142,-0.043557376309975
143,0.0003460526452647092
144,-0.005821514237153602
145,-0.023367970478991522
146,-0.0002588262907667893
147,-0.046120747473413576
148,-0.007369858857694943
149,-0.020184057203150356
150,-0.03164966942851577
151,-0.010402202092638112
152,-0.045795903615592576
153,0.0061212340214495675
154,0.0257786627680038
155,-0.02172969910493726
156,0.007427219063126357
157,-0.015112255971952523
158,-0.0643686457133215
159,0.03854354000101988
160,-0.031391563645579344
161,-0.042497746691025504
162,0.00023171900589447764
163,-0.02619600374445779
164,-0.03795790308713912
165,-0.009633320699170618
166,-0.009205748024133348
167,0.010280817722052242
168,-0.030947990229456945
169,-0.047225391535915935
170,0.013785122133979838
171,-0.010426031979241052
172,0.009499031780051709
173,-0.006482853981594698
174,-0.005305434307255996
175,0.017928235742465562
176,-0.01876679157012399
177,0.005208111083781178
178,0.005460663955037762
179,-0.014508269473634504
180,-0.042790808815658984
181,-0.018409280232269176
182,-0.024289801956598793
183,-0.02661840250663961
184,-0.039282793314380685
185,-0.02368206967618454
186,-0.051347616282616824
187,-0.01221284942939685
188,-0.03826620866276788
189,-0.00412233330252481
190,-0.028182172808698412
191,-0.056305083255375435
192,0.0017763141399574495
193,-0.013374547609185865
194,-0.03682401194398619
195,-0.0420683326602925
196,-0.01974985586186046
197,-0.011101849123623088
198,-0.04321710764319167
199,-0.003071554134043232
200,-0.004139286366274475
201,0.0002417343274608158
202,-0.005915121312148108
203,-0.004261357543455767
204,-0.012888019835818068
205,-0.01191312391990787
206,-0.011946948817542997
207,-0.005488169057097821
208,-0.013791125028237039
209,-0.007670705174741457
210,-0.02830853005697142
211,-0.010135837758805541
212,-0.01615243672877275
213,-0.017626734610477764
214,0.008372346620595703
215,-0.02254206714272445
216,-0.02057621938885239
217,-0.03417698817568386
218,-0.02873056687519858
219,0.01801594993330871
220,-0.05156423197325002
221,-0.025604855019989138
222,0.0039934534268997735
223,-0.023007322942666185
224,-0.02077351222077152
225,-0.04795243111527106
226,-0.04120101169423653
227,-0.03517767827346466
228,-0.024960377577413234
229,-0.030964527586046113
230,-0.020716644838523212
231,0.026191318405855417
232,-0.032903214502057285
233,-0.03159070259838004
234,-0.011253975258501171
235,-0.014337768106305295
236,0.00869454886391903
237,-0.014193577582832365
238,-0.011922605134853805
239,-0.008612392079345131
240,-0.012744938454725997
241,-0.015016945473325584
242,-0.006491704697733351
243,-0.005346822858904893
244,-0.015060389506958639
245,-0.03324975760238352
246,-0.0013856901272072744
247,-0.011580892394313293
248,0.004069090177923743
249,-0.014038035104247858
250,-0.03067884820738217
251,-0.010619246741321815
252,-0.020114588494784785
253,0.015827860850999402
254,-0.022744465401130856
255,8.298493162234993e-05
256,-0.03952904809541954
257,-0.01760629817372672
258,-0.011875883315303842
259,-0.012140620273112787
260,-0.021757312187681538
261,-0.013818615027179813
262,0.006336888154487068
263,-0.009937053426546258
264,-0.00471534314692252
265,-0.012257211141304486
266,-0.042433788269362976
267,-0.00817228440730404
268,-0.030066861347696233
269,-0.010091942324937882
270,0.008312567415362904
271,-0.014815467499182836
272,-0.020543504702352784
273,-0.005886391728186724
274,0.002641335023768135
275,-0.007005906156327096
276,-0.00036969418279243077
277,-0.02102395835862194
278,-0.05908860830067843
279,0.013959411113137726
280,-0.02615623402914631
281,-0.04261812088900011
282,0.011606795113668786
283,0.0073691482244708575
284,-0.009965445126335994
285,-0.013208319133399933
286,0.009757198967341688
287,0.009234291221517657
288,-0.023232406008340572
289,0.020975925413453285
290,0.025644808572970218
291,-0.022473999876335714
292,-0.016995202011497956
293,-0.02102472670446017
294,-0.018337126026018714
295,-0.031740003929551064
296,-0.018677847715384444
297,-0.009843525156756676
298,0.016091219141786225
299,-0.014071128676272908
300,-0.03247122826957628
301,0.0014191024586806544
302,-0.024845100935904994
303,-0.02544529267613184
304,-0.02737007418066499
305,0.00903420834992931
306,-0.049331637073150095
307,-0.016208482474509407
308,-0.03455584688671578
309,-0.007142653780564889
310,-0.009808598421938125
311,0.015087480426085396
312,-0.025500506831130827
313,-0.008708116308929415
314,-0.01338485088247586
315,0.008673524785473709
316,-0.01244747780240895
317,-0.00406344923928658
318,-0.026528708760070623
319,0.0029386342699714574
320,-0.001296179503213736
321,0.01516820345815828
322,0.008633056990146083
323,-0.000447652786614669
324,-0.043422460708930036
325,0.0041210945219802425
326,-0.029424163830898103
327,-0.02050797860266325
328,-0.03869122765544423
329,-0.04473562475245487
330,-0.0630355032223336
331,-0.0119149621539974
332,-0.0389249231147212
333,0.007369897050283791
334,0.009597004870539876
335,-0.025495606821841273
336,-0.014705237132007574
337,-0.004674706306813638
338,-0.0001899227270725501
339,-0.029420221547042373
340,-0.04492563261383887
341,-0.03578915831625578
342,-0.04537667578187119
343,-0.037674668870246036
344,-0.051310372546324534
345,0.006135566975919847
346,0.01664399742740582
347,-0.00322576703465266
348,-0.029838884949981787
349,-0.0334727251545957
350,-0.011379092283421592
351,0.030056099361184564
352,0.007104944805555631
353,0.013630992213369296
354,0.005331697867078322
355,-0.08184678496167001
356,-0.035197192182573764
357,0.02043800694535481
358,-0.009172129960902282
359,0.0032007848658977753
360,-0.036655981800280825
361,-0.03779585144348082
362,-0.030514644400733718
363,0.017720399985679126
364,-0.0008619474650647038
365,0.02367985804664203
366,-0.008270771150503634
367,-0.019899571672030873
368,-0.044913710165345955
369,-0.0029363416405659426
370,-0.0008334777713741373
371,-0.003946848138844598
372,-0.025275313282813155
373,-0.022593748520460866
374,-0.003088181234316624
375,-0.007359524804213653
376,-0.027660692531098464
377,0.009066314442770805
378,-0.036034173360099966
379,-0.01534114065728099
380,-0.009985530889644788
381,-0.024867313474615745
382,-0.021363375888012334
383,-0.044616662548876924
384,-0.029538419428921617
385,-0.04100492071931997
386,-0.0075039015433674
387,-0.02678814771886092
388,-0.0054147038924420784
389,-0.031638789087211926
390,-0.027523590269799704
391,-0.01474767904430719
392,0.0016789536444492131
393,-0.009883765082595877
394,0.013249131340268727
395,0.0162172901129949
396,0.02464504948286579
397,-0.0442837972558396
398,-0.02623222598047934
399,-0.04295942647296728
400,-0.013492204828113898
401,-0.006643183216117073
402,0.01034049146664092
403,-0.01810457344287749
404,-0.008767998148075988
405,-0.015547995691396317
406,-0.02086587576866794
407,-0.015046678947385074
408,0.017391701442471
409,-0.04602816868923422
410,0.0034741909181642133
411,-0.047113794924035376
412,-0.04574763431561498
413,-0.04032271641056881
414,-0.04814305669303924
415,-0.028992853620292726
416,-0.03676447128422862
417,-0.04912215183510026
418,-0.013176982217371354
419,-0.028853622592823057
420,-0.05106006882781694
421,-0.014343950094320324
422,0.032746180207898413
423,-0.029663566191321218
424,-0.04009669067996565
425,-0.021809523381701203
426,-0.022475448960715613
427,-0.035879427253272256
428,-0.03465334849151789
429,-0.027373193110423806
430,-0.03534759871840516
431,-0.03611102403069575
432,-0.0021258393209437135
433,-0.004240260501113202
434,0.013530259537341396
435,-0.02306342108190613
436,-0.026655815822432156
437,-0.023413878934029214
438,0.008764583012109334
439,-0.07869264729004953
440,-0.03842241702652502
441,-0.016478267850323504
442,-0.01391669826715728
443,-0.02471728066572516
444,-0.02481463299132744
445,-0.051014787701952655
446,0.000958610244628455
447,-0.005944130638304276
448,-0.0357843341145504
449,0.005180340127308544
450,-0.0005590882339948852
451,0.010831098846315376
452,-0.007207182367962542
453,-0.018716754325161476
454,-0.03658136299934204
455,-0.002354823808426769
456,0.022750796857612
457,-0.005844782869477275
458,-0.018026216144690035
459,-0.04063185347739095
460,-0.016249326832956084
461,-0.02154190425412495
462,-0.019634813298122646
463,-0.03165025133082886
464,-0.012745045480915946
465,-0.008634548276547388
466,0.015814449659156606
467,-0.0011199376769552294
468,0.009317738477144157
469,-0.03001546591407753
470,-0.04484904817908885
471,0.005571097665643017
472,-0.026711247922350488
473,-0.025244517100644702
474,0.0008980658107557576
