population,gen_model,task_type,n,dialectical_density,executive_density
fixed_4096,qwen35_27b,math,153,0.0696789417838089,0.10520725689896238
fixed_4096,qwen35_27b,moral,464,0.10353104004213766,0.06472438508690107
fixed_4096,qwen35_27b,planning,153,0.06278309637033944,0.08248770931665818
fixed_4096,qwen35_27b,safety,313,0.08040141610995222,0.0726395985756522
fixed_4096,qwen35_27b,security,171,0.07457448938240353,0.06638119272487678
fixed_4096,qwen35_4b,code,34,0.05571089295469824,0.06700620244669912
fixed_4096,qwen35_4b,gpqa,8,0.08073706420630435,0.08106451022656987
fixed_4096,qwen35_4b,idea,15,0.14564950885824976,0.09959824266389435
fixed_4096,qwen35_4b,math,116,0.07276127238267609,0.104349164988431
fixed_4096,qwen35_4b,moral,338,0.10382898995978959,0.0678299617687624
fixed_4096,qwen35_4b,planning,39,0.06790914263962285,0.09342385774297739
fixed_4096,qwen35_4b,safety,289,0.0792325777115933,0.07254086229527418
fixed_4096,qwen35_4b,security,69,0.08257137858657196,0.0767461008009504
fixed_4096,qwen35_9b,code,53,0.054257832698145055,0.06490064605127212
fixed_4096,qwen35_9b,gpqa,18,0.0842176420139003,0.07930748915935726
fixed_4096,qwen35_9b,idea,19,0.1250442542378074,0.08091498160719136
fixed_4096,qwen35_9b,math,144,0.07397922718870713,0.10396736404416074
fixed_4096,qwen35_9b,moral,396,0.10128941581638652,0.06502383077392755
fixed_4096,qwen35_9b,planning,56,0.0623602393810166,0.09142939563416112
fixed_4096,qwen35_9b,safety,308,0.07906154046831088,0.07307911954866005
fixed_4096,qwen35_9b,security,122,0.08173497312873956,0.06923567480028903
fixed_4096,reasoner,code,20,0.07462922704612242,0.08675473134575087
fixed_4096,reasoner,gpqa,191,0.09631538916887972,0.05339571416555136
fixed_4096,reasoner,idea,485,0.13808393270606686,0.06490819476539884
fixed_4096,reasoner,math,362,0.046680555508401576,0.08109067076609774
fixed_4096,reasoner,moral,500,0.12940799494402325,0.034496003842677606
fixed_4096,reasoner,planning,307,0.07717548283214107,0.07074002041609809
fixed_4096,reasoner,safety,311,0.12791045158482348,0.04301191659992903
fixed_4096,reasoner,security,306,0.08667090921941031,0.03196310109826984
