task_type,family,model_a,model_b,js_distance,correlation_distance,ci_low,ci_high,bootstrap_reps
idea,executive,gemma4_e4b,qwen35_4b,0.224221520008318,1.2705471675069706,0.2178538334631778,0.23326138965394197,200
idea,dialectical,gemma4_e4b,qwen35_9b,0.29185928353101565,1.71982061410077,0.2877078222731682,0.2977860417421133,200
idea,executive,gemma4_e4b,qwen35_9b,0.20817794399486322,0.9538213724667509,0.20236399856517961,0.21655098255989239,200
idea,dialectical,gemma4_e4b,qwen35_27b,0.2937225508129631,1.585973837164592,0.2893553092699066,0.3010197242419443,200
idea,executive,gemma4_e4b,qwen35_27b,0.21761195271939887,1.10374363833613,0.21281352311474924,0.22448296542274615,200
idea,dialectical,gemma4_31b,qwen35_4b,0.22598612635667303,1.0141427813944417,0.21967291274461873,0.23385120751511324,200
idea,executive,gemma4_31b,qwen35_4b,0.21364837093660236,1.286653180074877,0.20037021016988787,0.22831751595305255,200
idea,dialectical,gemma4_31b,qwen35_9b,0.23739466266489342,1.263777683625599,0.23078106533849704,0.24377483477345363,200
idea,executive,gemma4_31b,qwen35_9b,0.213535609720224,1.4187400120540588,0.20238361298276258,0.22661896596164544,200
idea,dialectical,gemma4_31b,qwen35_27b,0.2347870283398543,1.1210563784467582,0.22772026391819636,0.24120208630976933,200
idea,executive,gemma4_31b,qwen35_27b,0.22381221664795078,1.571187263911555,0.21186945569582247,0.23778906022217106,200
idea,dialectical,qwen35_4b,qwen35_9b,0.028717419743986394,0.07302420465415149,0.024332977954413856,0.03890903451502151,200
idea,executive,qwen35_4b,qwen35_9b,0.03643681139735874,0.2867020571912935,0.03222053065532998,0.04795943197709111,200
idea,dialectical,qwen35_4b,qwen35_27b,0.018932826642451824,0.027838665810926977,0.017979712247458857,0.03088615726242688,200
idea,executive,qwen35_4b,qwen35_27b,0.031733763717423764,0.20355829114779356,0.028466539399987376,0.04216796330085034,200
idea,dialectical,qwen35_9b,qwen35_27b,0.02325352074487967,0.031207396856986036,0.02097682759108847,0.030817128116709225,200
idea,executive,qwen35_9b,qwen35_27b,0.02001220011576535,0.08705876709388483,0.018176560873239486,0.03070718242350193,200
safety,dialectical,reasoner,gemma4_e4b,0.44550011050982125,0.5807157019757663,0.40532725818555243,0.5320188332011184,200
safety,executive,reasoner,gemma4_e4b,0.2880031709682024,1.0889232284681485,0.25544119711624413,0.36224980091716524,200
safety,dialectical,reasoner,gemma4_31b,0.21663865943227442,0.2492585286264858,0.20147805187012038,0.2577812160332187,200
safety,executive,reasoner,gemma4_31b,0.43784186618482684,1.4429088128478416,0.4048973815962174,0.49334900665334663,200
safety,dialectical,reasoner,qwen35_4b,0.07104576861689027,0.22057890827585847,0.06146903878347905,0.09346470662179507,200
safety,executive,reasoner,qwen35_4b,0.13615426997091823,1.4224214075288186,0.12464977324437165,0.16898112311608846,200
safety,dialectical,reasoner,qwen35_9b,0.07473956951132839,0.21927432268356695,0.06568029982667759,0.09828977472957645,200
safety,executive,reasoner,qwen35_9b,0.14723821610731677,1.6025167005565877,0.135008724923214,0.1791173142229642,200
safety,dialectical,reasoner,qwen35_27b,0.08605978765374799,0.2261003365275175,0.07670853520884494,0.10815844359427523,200
safety,executive,reasoner,qwen35_27b,0.16079933228965754,1.4722564540731757,0.14676687986221973,0.19375664870344864,200
safety,dialectical,gemma4_e4b,gemma4_31b,0.4168307275326887,0.6153113271295783,0.3674336508489055,0.5133431820550604,200
safety,executive,gemma4_e4b,gemma4_31b,0.4445689124277848,1.0124301290385236,0.4120032556199447,0.5176802722216743,200
safety,dialectical,gemma4_e4b,qwen35_4b,0.4292475757123636,0.518793173963632,0.38461844463025624,0.5268819681123962,200
safety,executive,gemma4_e4b,qwen35_4b,0.25267148085541524,0.5935549856624034,0.22147515321653774,0.316614979996419,200
safety,dialectical,gemma4_e4b,qwen35_9b,0.4359876459994576,0.6275872278045516,0.40043799520963125,0.5140574472889762,200
safety,executive,gemma4_e4b,qwen35_9b,0.24162871996880736,0.5030716336710986,0.2226722138585035,0.30614051301715745,200
safety,dialectical,gemma4_e4b,qwen35_27b,0.4310357267089036,0.6675200583051899,0.3922331807525141,0.5107401716387608,200
safety,executive,gemma4_e4b,qwen35_27b,0.23249660363303842,0.4250322413684634,0.20486983657214322,0.30178102671352436,200
safety,dialectical,gemma4_31b,qwen35_4b,0.20058520758781392,0.3408566326015654,0.18278658051547586,0.24201868239261418,200
safety,executive,gemma4_31b,qwen35_4b,0.3932316003550332,1.060826035849798,0.35224282086110065,0.46577372031483905,200
