split,prefix,feature_set,baseline,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,delta_log_loss,delta_brier
random_trace,0.25,length,metadata,0.016328559247454577,0.01012515961976902,0.02217646712939311,0.08696400405758437,0.03221723111317436,0.1376969770536091,-0.005842099055911876,-0.0018293403436322742
random_trace,0.25,counts,length,-0.009413658354194387,-0.017038436477806177,-0.003482239545751195,-0.054747257483480305,-0.09592029585472088,-0.016836517817657076,0.00941353200833922,0.002885031773120862
random_trace,0.25,temporal,counts,-0.021727334491516537,-0.0462344388341633,-0.002721945797671507,-0.008679439348692697,-0.04397158430759836,0.028572317655844236,0.020218806431551245,0.003012733771334819
random_trace,0.25,time_shuffled,counts,-0.001618720617940883,-0.005092329276579902,-5.42830457131327e-05,-0.0010562231956494639,-0.0027105587628091037,6.118056234302686e-05,0.0007780105707189955,5.7084870381564345e-05
random_trace,0.25,temporal,time_shuffled,-0.020108613873575654,-0.04322112686158041,-0.0011003890941154134,-0.007623216153043233,-0.04651715182063871,0.028323062168005567,0.01944079586083225,0.0029556489009532547
prompt_disjoint,0.5,length,metadata,0.018574249118823216,0.012661139600789625,0.025192602206735956,0.09748273968840332,0.04850491220002197,0.15047822082529577,-0.0037477812408893973,-0.0017135192905144495
prompt_disjoint,0.5,counts,length,-0.0017304351394608064,-0.006432189002249242,0.0034403305609128293,-0.01609138846370478,-0.05317031244913271,0.01923357402803797,0.0036374804617871626,0.0010823316501021377
prompt_disjoint,0.5,temporal,counts,-0.03577372565649373,-0.0656991167926999,-0.012161147881299447,-0.021586426693256777,-0.0687882979900813,0.02955838809904896,0.02936751856686176,0.0027428073693439234
prompt_disjoint,0.5,time_shuffled,counts,2.279888194289814e-05,-0.00013310770673708727,0.0001891792362125527,0.00043558635586105066,-0.0008240557786800273,0.0020021511084785766,9.9178643287956e-05,2.412045062144541e-05
prompt_disjoint,0.5,temporal,time_shuffled,-0.035796524538436625,-0.06525627255337012,-0.012793607562678512,-0.022022013049117828,-0.07150148290233681,0.027369370967929834,0.029268339923573805,0.002718686918722478
random_trace,0.5,length,metadata,0.01647447209188868,0.010411504780763378,0.02234625083563391,0.08706035034952053,0.038113480503315866,0.13968745613207803,-0.00582299087819807,-0.0018686835719693984
random_trace,0.5,counts,length,-0.012897327515058676,-0.026101252858042146,-0.002398574767513423,-0.03341717596415206,-0.07234471374854122,0.00232298184938719,0.011711938191595245,0.002497521220428782
random_trace,0.5,temporal,counts,-0.027634524802903626,-0.05263899019791563,-0.00774939352998339,-0.013362912963869988,-0.0629823613330078,0.033651153984681104,0.02327018208083828,0.002446663482864403
random_trace,0.5,time_shuffled,counts,-0.0036934188747383967,-0.008813854202504853,-6.151245743848676e-05,-0.0005379344200001079,-0.0019874456662157146,0.0010304382891024142,0.0015827629873362281,5.4868019812893964e-05
random_trace,0.5,temporal,time_shuffled,-0.02394110592816523,-0.05060311703966444,-0.00431068302124577,-0.01282497854386988,-0.06366201503026658,0.037757936277885124,0.021687419093502053,0.002391795463051509
prompt_disjoint,0.75,length,metadata,0.018738401068811528,0.012594867793471595,0.024288655738185814,0.09789091776125214,0.048227941967808545,0.15097700147173282,-0.00376678261347832,-0.001719485851145501
prompt_disjoint,0.75,counts,length,0.003397033409481609,-0.0028216199128426015,0.009222142213086834,0.015588902451158071,-0.033524848159127395,0.06374096245971776,-0.0004432631755469929,-0.0006036208127904036
prompt_disjoint,0.75,temporal,counts,-0.019360810545850815,-0.04031908653989503,-0.0031870497870432257,-0.02084296716505679,-0.07101289438853181,0.020461210496466185,0.016274192981705765,0.0018970366571112382
prompt_disjoint,0.75,time_shuffled,counts,-2.279888194278712e-05,-0.00020555280554991894,0.00014267224864828454,4.7528765137971885e-05,-0.0015625336939720943,0.001645231840898241,0.00013527229059173695,3.0635425766999125e-05
prompt_disjoint,0.75,temporal,time_shuffled,-0.019338011663908028,-0.04142232066898383,-0.0034487663277635704,-0.020890495930194763,-0.06796316599442201,0.02899878322944215,0.016138920691114028,0.001866401231344239
random_trace,0.75,length,metadata,0.01649271119744289,0.010722081741043077,0.022719378479662603,0.088359960047044,0.037868411393627,0.13984785200060418,-0.005826717169885004,-0.0018731595645682803
random_trace,0.75,counts,length,0.0007318441103648654,-0.0046790305503753874,0.00593056006495796,-0.0027041877298522587,-0.05347935959155256,0.0393100744270638,0.0036178971842422136,0.000526422431463669
random_trace,0.75,temporal,counts,-0.021193840654054386,-0.04007672337313501,-0.004236869057765868,-0.0029626932265202632,-0.04784709640992401,0.04574586585623688,0.016273879105725614,0.0008861221378548487
