split,prefix,feature_set,feature_label,n,positive_rate,folds,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,recall_at_5pct_fpr,recall_at_5pct_fpr_ci_low,recall_at_5pct_fpr_ci_high,log_loss,brier,ece
random_trace,0.25,temporal,Metadata + length + temporal bins,1906,0.06453305351521511,5,0.9115996151548728,0.8814305194438791,0.9357954428240619,0.3888209390401907,0.3161683892264763,0.4709513847121724,0.4959349593495935,0.3908924611973393,0.6198850614626016,0.16574002545216468,0.048365673639925104,0.020096062870959417
random_trace,0.25,time_shuffled,Counts repeated across time,1906,0.06453305351521511,5,0.9317082290284484,0.9133362771029729,0.9471444114847953,0.39644415519323395,0.3256779737108897,0.48079588398157713,0.4634146341463415,0.3508451005562687,0.5772445332211943,0.14629922959133243,0.04541002473897185,0.012579030236164763
prompt_disjoint,0.5,metadata,Metadata,1906,0.06453305351521511,5,0.9250304365073937,0.9081047107818567,0.9392752173835414,0.3498116528894605,0.288281765762321,0.43081370228192706,0.35772357723577236,0.23476889933411674,0.4806275519261495,0.141334214267626,0.044319603568240704,0.010901781178279533
prompt_disjoint,0.5,length,Metadata + length,1906,0.06453305351521511,5,0.9436046856262169,0.9302234412713929,0.9552688683605474,0.4472943925778638,0.3631142741678656,0.5441183962533711,0.5691056910569106,0.4319758620689655,0.7143147502903601,0.1375864330267366,0.042606084277726254,0.007272676618209791
prompt_disjoint,0.5,counts,Metadata + length + counts,1906,0.06453305351521511,5,0.9418742504867561,0.9266732639511756,0.9542668882011388,0.431203004114159,0.3528221154680795,0.5179467937644331,0.5203252032520326,0.42857142857142855,0.6239333333333333,0.14122391348852376,0.04368841592782839,0.011317003684766638
prompt_disjoint,0.5,temporal,Metadata + length + temporal bins,1906,0.06453305351521511,5,0.9061005248302624,0.8673230779847338,0.9357469098606237,0.40961657742090224,0.33191125424588674,0.4988305188074167,0.5447154471544715,0.428505291005291,0.6780881789443434,0.17059143205538552,0.046431223297172315,0.016679800985604905
prompt_disjoint,0.5,time_shuffled,Counts repeated across time,1906,0.06453305351521511,5,0.941897049368699,0.9267225005901794,0.953864389893809,0.43163859047002007,0.35260895132420145,0.5259747701502465,0.5203252032520326,0.43063269844890506,0.6191308691308691,0.1413230921318117,0.04371253637844984,0.011593019902953906
random_trace,0.5,metadata,Metadata,1906,0.06453305351521511,5,0.9264120487531291,0.9101644610321508,0.9420722903017424,0.36528363181477935,0.29641770132655454,0.4468161038529679,0.3983739837398374,0.28568524970963993,0.5271648704859142,0.1419497860681861,0.0442972484391017,0.008463797645457917
random_trace,0.5,length,Metadata + length,1906,0.06453305351521511,5,0.9428865208450178,0.9278708551697455,0.9556014152334507,0.4523439821642999,0.3706821184154583,0.5493640849703149,0.5934959349593496,0.44537815126050423,0.6789042174448857,0.13612679518998802,0.0424285648671323,0.008438191900986287
random_trace,0.5,counts,Metadata + length + counts,1906,0.06453305351521511,5,0.9299891933299591,0.9095043145783935,0.9479172966203668,0.4189268062001478,0.3418740472796281,0.5064928006915114,0.5040650406504065,0.3964739966082533,0.6350504144500804,0.14783873338158326,0.04492608608756108,0.013414171249484703
random_trace,0.5,temporal,Metadata + length + temporal bins,1906,0.06453305351521511,5,0.9023546685270555,0.8659225282437278,0.9320128295144521,0.40556389323627784,0.3298159556476925,0.49892275982938117,0.5203252032520326,0.39832842724978973,0.6504506892895016,0.17110891546242155,0.04737274957042548,0.02133206422601903
random_trace,0.5,time_shuffled,Counts repeated across time,1906,0.06453305351521511,5,0.9262957744552207,0.9023219979346867,0.9459680383614726,0.4183888717801477,0.33492418608422714,0.5095889124430977,0.5040650406504065,0.3831684433411215,0.632520325203252,0.1494214963689195,0.044980954107373974,0.014156539196462424
prompt_disjoint,0.75,metadata,Metadata,1906,0.06453305351521511,5,0.9250304365073937,0.909453683297354,0.9398822901458516,0.3498116528894605,0.2854694494210014,0.4224350561413242,0.35772357723577236,0.2543787748058671,0.4958710743801653,0.141334214267626,0.044319603568240704,0.010901781178279533
prompt_disjoint,0.75,length,Metadata + length,1906,0.06453305351521511,5,0.9437688375762052,0.9297093343792131,0.9561257396356565,0.4477025706507126,0.362933653116088,0.5318954061321364,0.5691056910569106,0.428516057585825,0.7179629629629629,0.13756743165414767,0.0426001177170952,0.006427590023764092
prompt_disjoint,0.75,counts,Metadata + length + counts,1906,0.06453305351521511,5,0.9471658709856868,0.931988537396941,0.9608831249780277,0.4632914731018707,0.38455521673140813,0.5570273321216991,0.6422764227642277,0.5344827586206896,0.7411295553720956,0.13712416847860068,0.0419964969043048,0.00771680822040397
prompt_disjoint,0.75,temporal,Metadata + length + temporal bins,1906,0.06453305351521511,5,0.927805060439836,0.8969929078333513,0.9527699269586969,0.4424485059368139,0.3672214236340995,0.5307345964858263,0.6341463414634146,0.5270848015034062,0.7384615384615385,0.15339836146030644,0.04389353356141604,0.01775049009148107
prompt_disjoint,0.75,time_shuffled,Counts repeated across time,1906,0.06453305351521511,5,0.947143072103744,0.9340372924337547,0.9600460297824283,0.46333900186700866,0.38314131252907907,0.5629658576363317,0.6504065040650406,0.525845013644257,0.7322953434699973,0.13725944076919241,0.0420271323300718,0.008135440924789522
random_trace,0.75,metadata,Metadata,1906,0.06453305351521511,5,0.9264120487531291,0.9109697859492023,0.9416416534798577,0.36528363181477935,0.30120287296092985,0.45195262178967427,0.3983739837398374,0.2845528455284553,0.5197010434671275,0.1419497860681861,0.0442972484391017,0.008463797645457917
random_trace,0.75,length,Metadata + length,1906,0.06453305351521511,5,0.942904759950572,0.9293257553537859,0.9551911354161049,0.45364359186182335,0.3776117576864346,0.552115074012661,0.5772357723577236,0.46013873178521525,0.681489898989899,0.1361230688983011,0.04242408887453342,0.007815634748155376
random_trace,0.75,counts,Metadata + length + counts,1906,0.06453305351521511,5,0.9436366040609369,0.9288182876433974,0.9574619435492367,0.4509394041319711,0.3664509163243597,0.5460567849872681,0.5528455284552846,0.4443910256410256,0.7226389668725435,0.1397409660825433,0.042950511305997086,0.00867247038720748
random_trace,0.75,temporal,Metadata + length + temporal bins,1906,0.06453305351521511,5,0.9224427634068825,0.8942575844247355,0.9479179123985768,0.4479767109054508,0.36530982427486136,0.5385568761527696,0.6585365853658537,0.4998015873015873,0.7476694416084191,0.1560148451882689,0.043836633443851934,0.013981213597998192
random_trace,0.75,time_shuffled,Counts repeated across time,1906,0.06453305351521511,5,0.9434633325581714,0.9274779489320208,0.9578903696895426,0.45098815875646225,0.3674259476325079,0.5461150572801946,0.5609756097560976,0.4485964128642111,0.7235848198034219,0.1400317075559685,0.04301013408863582,0.008930114528790181
prompt_disjoint,1.0,metadata,Metadata,1906,0.06453305351521511,5,0.9250304365073937,0.9080762723891767,0.9393180968332249,0.3498116528894605,0.2819095087855856,0.429193212955753,0.35772357723577236,0.24575071953949473,0.4932168757914124,0.141334214267626,0.044319603568240704,0.010901781178279533
prompt_disjoint,1.0,length,Metadata + length,1906,0.06453305351521511,5,0.9438235548928681,0.9299512296503786,0.9554303924611433,0.4490060141336437,0.3713764312547484,0.5391183016423363,0.5691056910569106,0.42982113486842105,0.7087226596675414,0.1375562374371533,0.042590921273259474,0.006948972910426669
prompt_disjoint,1.0,counts,Metadata + length + counts,1906,0.06453305351521511,5,0.9470427570231956,0.9336095509083769,0.9591251724768414,0.4558922642089639,0.37242953766256154,0.5504084662180531,0.6341463414634146,0.5,0.7413793103448276,0.1360812846506826,0.042055958882538755,0.010159870775091794
prompt_disjoint,1.0,temporal,Metadata + length + temporal bins,1906,0.06453305351521511,5,0.9371252433780647,0.9130670455057357,0.9566249726512875,0.44300436749561983,0.36346985350665817,0.5332749207485886,0.6260162601626016,0.5074626865671642,0.7477577577577578,0.1531328734923455,0.04441527145559977,0.018241485090421426
prompt_disjoint,1.0,time_shuffled,Counts repeated across time,1906,0.06453305351521511,5,0.9469971592593099,0.9318275156696421,0.958751163663071,0.45553007360815834,0.38066461113914196,0.552823681675599,0.6341463414634146,0.48737224619577557,0.7428697850821745,0.13619090421026872,0.04209382634869382,0.009966537115370312
random_trace,1.0,metadata,Metadata,1906,0.06453305351521511,5,0.9264120487531291,0.90968392401612,0.9427431102339903,0.36528363181477935,0.29824762249315345,0.44384871749937727,0.3983739837398374,0.2767857142857143,0.5217725752508361,0.1419497860681861,0.0442972484391017,0.008463797645457917
random_trace,1.0,length,Metadata + length,1906,0.06453305351521511,5,0.9429252789443205,0.9282905987264918,0.9561391152703606,0.45413556932479066,0.37372171167468604,0.549061563189333,0.5853658536585366,0.4432630064732678,0.6767165848505561,0.13613062691007172,0.04242439182424729,0.007381006924625225
random_trace,1.0,counts,Metadata + length + counts,1906,0.06453305351521511,5,0.9449224610025124,0.9320614050705027,0.9576419638977345,0.45861048207138005,0.3726282153681374,0.5456617181414742,0.6260162601626016,0.5245822059525704,0.738560606060606,0.13757514931971593,0.04254232910707925,0.008524546602745375
random_trace,1.0,temporal,Metadata + length + temporal bins,1906,0.06453305351521511,5,0.9328071351380929,0.9108635881025197,0.9520940637535622,0.42734357661539074,0.34971975240318137,0.5116355044240095,0.6341463414634146,0.5089006696428571,0.7345132743362832,0.1495259864006286,0.04509925709366858,0.020456723059476208
random_trace,1.0,time_shuffled,Counts repeated across time,1906,0.06453305351521511,5,0.9447446297233584,0.9294248595509671,0.958009251746246,0.4575764957130435,0.3774202444206402,0.548078638933148,0.6260162601626016,0.5166598360655739,0.7461538461538462,0.13781618162201917,0.042610988453790195,0.007891776972029776
