split,prefix,feature_set,baseline,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high,delta_log_loss,delta_brier
prompt_disjoint,0.25,length,metadata,-0.00016568009841699816,-0.00037470352544183294,2.6011441179923932e-05,-4.62045911332476e-05,-0.00018005702606178897,0.000187170301675596,6.0373753926867835e-05,4.821710855151817e-05
prompt_disjoint,0.25,counts,length,0.005405188292342711,0.003403122902024991,0.007265919117605016,0.004375806731511722,0.0032354759649489253,0.005579542705509949,-0.0024003388972606565,-0.0008271884715828071
prompt_disjoint,0.25,temporal,counts,0.003125946057730311,0.0013173573137745087,0.004874583924877536,0.0012845175689693011,0.0003135704635204156,0.002351996042242757,-0.0011022908423026223,-0.0004902233034013992
prompt_disjoint,0.25,time_shuffled,counts,-5.710560515570506e-07,-2.3026209876819693e-06,1.1116584145154365e-06,-6.835116805881114e-08,-1.2118940144745238e-06,1.0987554189573194e-06,3.005907324160617e-07,1.6151884368875713e-07
prompt_disjoint,0.25,temporal,time_shuffled,0.003126517113781868,0.001278426537986216,0.004905657100471791,0.00128458592013736,0.0003017090883734308,0.0023673644689687075,-0.0011025914330350384,-0.000490384822245088
random_trace,0.25,length,metadata,-0.00013837278877737447,-0.00034560781910269176,6.783438784521418e-05,0.00011576548428071654,1.0167735620666973e-05,0.00022189642761975822,3.613876608721256e-05,3.716947281287575e-05
random_trace,0.25,counts,length,0.0053773690014154996,0.003549912581417855,0.007447442699715359,0.004172346716320607,0.00304573244341452,0.00534868995681888,-0.002652581078502747,-0.0009228346136986587
random_trace,0.25,temporal,counts,0.0027041177827917817,0.0008294937249418516,0.004657911917204366,0.0011644269489071712,8.691560029847056e-05,0.0021435372692908345,-0.001060864267956041,-0.00043310949121033726
random_trace,0.25,time_shuffled,counts,3.249112018322009e-07,-1.4477713377702984e-06,2.0993669620661405e-06,6.109351985417177e-07,-1.2981979529369524e-06,3.202691301260052e-06,1.370577326076372e-07,1.032979290993552e-07
random_trace,0.25,temporal,time_shuffled,0.0027037928715899495,0.000802552650421795,0.004600888466142513,0.0011638160137086295,0.00011124206751020053,0.0021101051818380673,-0.0010610013256886486,-0.0004332127891394366
prompt_disjoint,0.5,length,metadata,-0.00016221437893149115,-0.00036132529957166594,5.18442269549335e-05,-4.5266304106506006e-05,-0.00017037773468863148,0.00017828379795450377,5.961463819692536e-05,4.795318345629518e-05
prompt_disjoint,0.5,counts,length,0.007726294843013348,0.005351827944818047,0.010052433494424326,0.005752660690520606,0.00421668947410962,0.007253210485457615,-0.003950567351925671,-0.0014388435676381817
prompt_disjoint,0.5,temporal,counts,0.0022209206738950105,0.000680910745022878,0.0036674891118299627,0.001041813898797539,0.00015476301041523756,0.001866994088223403,-0.0006263568770449313,-0.00023416945932916433
prompt_disjoint,0.5,time_shuffled,counts,-1.1125747211293557e-06,-3.1004647167376388e-06,9.962840021332517e-07,-7.282488085902372e-07,-2.122875240337385e-06,5.979244395576399e-07,3.5282488353161057e-07,1.926462448731403e-07
prompt_disjoint,0.5,temporal,time_shuffled,0.00222203324861614,0.0006534532554064832,0.003763435159989964,0.0010425421476061292,0.00017288712021093223,0.0019383028093074516,-0.0006267097019284629,-0.00023436210557403747
random_trace,0.5,length,metadata,-0.00013824971635245653,-0.00034460052405967947,5.7564679366642294e-05,0.00011621283671614524,8.079417907647103e-06,0.00022250614232344754,3.591341252839886e-05,3.714908803698069e-05
random_trace,0.5,counts,length,0.007919681005726598,0.005748917999598702,0.01037423132338629,0.005719273671392688,0.004320612222015757,0.00710736513466127,-0.004338656312919631,-0.00158716966245942
random_trace,0.5,temporal,counts,0.001581524966196457,7.156391191017188e-05,0.0030361348502382394,0.00039317837994912175,-0.0006235259167136464,0.001446887640648825,-1.8617320825753403e-05,-4.145679108974454e-05
random_trace,0.5,time_shuffled,counts,1.1814952793898215e-07,-1.929856759308457e-06,2.090432104898121e-06,2.9345491858734363e-07,-1.033228818106413e-06,1.7861568524013548e-06,1.4402318604389563e-07,1.2065057192200968e-07
random_trace,0.5,temporal,time_shuffled,0.001581406816668518,0.00013281131279516966,0.003084794295984611,0.0003928849250305344,-0.000691557388599165,0.001365279232469274,-1.87613440117973e-05,-4.157744166166655e-05
prompt_disjoint,0.75,length,metadata,-0.00016218976444648536,-0.00037467495773712,5.6064628023652604e-05,-4.496574909773621e-05,-0.00017056972723826502,0.0001835135113701064,5.95510489129758e-05,4.80040717207586e-05
prompt_disjoint,0.75,counts,length,0.01137902041675043,0.008533461686539307,0.014171232717225323,0.007974556527899468,0.006333698313677727,0.009735658636105066,-0.006151978895114096,-0.0023162762957224248
prompt_disjoint,0.75,temporal,counts,0.0003544092005715038,-0.0008761477327230093,0.0016450927898245481,-3.728792028834249e-05,-0.0008626886486684498,0.0007715508383494017,0.0002148156040349125,1.953061788531607e-05
prompt_disjoint,0.75,time_shuffled,counts,8.172009013929227e-07,-1.1010471704653302e-06,2.983775297488167e-06,2.170737722906324e-07,-1.1352545158521687e-06,1.5259186698396432e-06,3.475746888081943e-07,1.9918590529743874e-07
prompt_disjoint,0.75,temporal,time_shuffled,0.0003535919996701109,-0.0009263659886233622,0.0015795275595928803,-3.750499406063312e-05,-0.0008543031860532374,0.0007493441725300114,0.00021446802934610432,1.9331431980018632e-05
