gen_model,model_label,task_type,domain,signature_family,layer,behavior,behavior_label,n_domain,shapley_gain,shapley_ci_low,shapley_ci_high,shapley_p_value,shapley_unit,direction_effect,direction_ci_low,direction_ci_high,direction_unit,shapley_q_value,supported
reasoner,DeepSeek-R1 Distill 8B,moral,Moral,conversational,timing,Question_and_Answering,Question–answer,500,0.060723272921355494,0.014609087370146224,0.10762673609980519,0.006993006993006993,bits per held-out trace,0.14403107337030568,0.11722275644055857,0.1727395820873601,conditional timing centroid difference: positive means later,0.03159193747429042,True
reasoner,DeepSeek-R1 Distill 8B,moral,Moral,conversational,timing,Perspective_Shift,Perspective shift,500,0.021871782418400577,-0.0001995252725361778,0.04144812265879606,0.01898101898101898,bits per held-out trace,-0.011468664320556932,-0.01965968761836265,-0.0030489713162789814,conditional timing centroid difference: positive means later,0.06393606393606394,False
reasoner,DeepSeek-R1 Distill 8B,moral,Moral,conversational,timing,Conflict_of_Perspectives,Perspective conflict,500,-0.009746222844851857,-0.01898854835206084,0.0001545939185535353,0.97002997002997,bits per held-out trace,0.002055752829244084,-0.01663169152311312,0.019510875817946336,conditional timing centroid difference: positive means later,0.9751086609725353,False
reasoner,DeepSeek-R1 Distill 8B,moral,Moral,conversational,timing,Reconciliation,Reconciliation,500,0.14773501528682317,0.09082341870903626,0.20285873526918857,0.000999000999000999,bits per held-out trace,0.17289748105537583,0.15785941346008814,0.18740260414067933,conditional timing centroid difference: positive means later,0.0073772381464689155,True
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,conversational,amount,Question_and_Answering,Question–answer,493,0.2181922703757987,0.15873745350278035,0.2729509505396969,0.000999000999000999,bits per held-out trace,0.8895537077460406,0.7736381106483646,1.0068553378994938,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,conversational,amount,Perspective_Shift,Perspective shift,493,0.591036317173564,0.4823585464236547,0.7011020935799805,0.000999000999000999,bits per held-out trace,1.2147573246546723,1.1155259077617092,1.3168018681285236,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,conversational,amount,Conflict_of_Perspectives,Perspective conflict,493,0.06901065808571294,0.05804351742630017,0.07979521323659419,0.000999000999000999,bits per held-out trace,-0.14026945457716242,-0.22153916666497186,-0.05848151422768919,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,conversational,amount,Reconciliation,Reconciliation,493,0.00987439560484361,-0.010930756244913922,0.029082830929167067,0.17082917082917082,bits per held-out trace,0.0054747821194201865,-0.07875013582287246,0.09967122909236852,standardized rate difference: domain minus other domains,0.19523333809048093,False
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,conversational,timing,Question_and_Answering,Question–answer,493,0.06184602397986504,0.028732723618409207,0.09462392320860166,0.000999000999000999,bits per held-out trace,-0.07012976498858692,-0.09289807623768187,-0.048102812700784904,conditional timing centroid difference: positive means later,0.0073772381464689155,True
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,conversational,timing,Perspective_Shift,Perspective shift,493,0.08590415088836513,0.03489715763491562,0.13265565519542968,0.000999000999000999,bits per held-out trace,-0.07473631676974024,-0.08332031319340266,-0.06517845856002502,conditional timing centroid difference: positive means later,0.0073772381464689155,True
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,conversational,timing,Conflict_of_Perspectives,Perspective conflict,493,-0.005549197680851087,-0.02165325688229445,0.010165349189629715,0.7682317682317682,bits per held-out trace,-0.034210759299435956,-0.055346043940873314,-0.015459886645171207,conditional timing centroid difference: positive means later,0.8286544915758399,False
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,conversational,timing,Reconciliation,Reconciliation,493,0.06357650919989837,0.02540609441182325,0.10516719928495542,0.000999000999000999,bits per held-out trace,0.0424509757891508,0.02327309826476041,0.06220900143300569,conditional timing centroid difference: positive means later,0.0073772381464689155,True
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,conversational,amount,Question_and_Answering,Question–answer,312,0.17320942525120692,0.10249831728636641,0.2466497898361119,0.000999000999000999,bits per held-out trace,0.8358467132516861,0.7026887504321093,0.9783160220470399,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,conversational,amount,Perspective_Shift,Perspective shift,312,0.2726151962518307,0.21752114716836812,0.32939927628015536,0.000999000999000999,bits per held-out trace,0.6024090966010165,0.5166072511670194,0.699200040768763,standardized rate difference: domain minus other domains,0.001510300722899148,True
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,conversational,amount,Conflict_of_Perspectives,Perspective conflict,312,-0.05800715653057955,-0.08554882635066283,-0.03484452709786587,1.0,bits per held-out trace,-0.2030359402967164,-0.32096089450653686,-0.08168042572734076,standardized rate difference: domain minus other domains,1.0,False
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,conversational,amount,Reconciliation,Reconciliation,312,0.018543583507322325,0.00032712355857180894,0.03571802531008155,0.024975024975024976,bits per held-out trace,0.32703586154784264,0.22617759989301975,0.43539854176321424,standardized rate difference: domain minus other domains,0.03196803196803197,True
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,conversational,timing,Question_and_Answering,Question–answer,312,0.07784144642120025,0.019831520212229628,0.13242362634628596,0.005994005994005994,bits per held-out trace,-0.04747657599064159,-0.07921367111971751,-0.015039436996524653,conditional timing centroid difference: positive means later,0.028069491484125634,True
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,conversational,timing,Perspective_Shift,Perspective shift,312,0.03816362717978792,-1.2111665966109424e-05,0.07733617987620717,0.017982017982017984,bits per held-out trace,-0.019213635494576997,-0.02985443063277423,-0.008153377951112324,conditional timing centroid difference: positive means later,0.062208062208062215,False
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,conversational,timing,Conflict_of_Perspectives,Perspective conflict,312,0.030220001664542827,-0.006547563613937949,0.0659806619757556,0.054945054945054944,bits per held-out trace,-0.0657410664735757,-0.09624974343428919,-0.03893813782201057,conditional timing centroid difference: positive means later,0.14065934065934066,False
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,conversational,timing,Reconciliation,Reconciliation,312,0.07604629951161977,0.021180860747117072,0.13279549453321693,0.005994005994005994,bits per held-out trace,0.10305179284921107,0.07903235897721339,0.12884747474885141,conditional timing centroid difference: positive means later,0.028069491484125634,True
reasoner,DeepSeek-R1 Distill 8B,security,Security,conversational,amount,Question_and_Answering,Question–answer,398,0.4848117696648011,0.39221492462169893,0.5807252779012944,0.000999000999000999,bits per held-out trace,-0.630812401969681,-0.689330946613285,-0.5741821333944774,standardized rate difference: domain minus other domains,0.001510300722899148,True
