gen_model,family,profile,distance
reasoner,dialectical,amount,0.010661907291127034
reasoner,dialectical,amount,0.01528463166126609
reasoner,dialectical,amount,0.005242088030638104
reasoner,dialectical,amount,0.006831001278469851
reasoner,dialectical,amount,0.015344096879562891
reasoner,dialectical,amount,0.010607991085769972
reasoner,dialectical,amount,0.010903519244636107
reasoner,dialectical,amount,0.007064625778455206
reasoner,dialectical,amount,0.006548361375120554
reasoner,dialectical,amount,0.008050451849005047
reasoner,dialectical,amount,0.011303987970600834
reasoner,dialectical,amount,0.005590793005664272
reasoner,dialectical,amount,0.008870912619106826
reasoner,dialectical,amount,0.007663311157692006
reasoner,dialectical,amount,0.015400775726990345
reasoner,dialectical,amount,0.005379973738021192
reasoner,dialectical,amount,0.009670113424834719
reasoner,dialectical,amount,0.013062569698203519
reasoner,dialectical,amount,0.00885707058414779
reasoner,dialectical,amount,0.0078087054426403775
reasoner,dialectical,amount,0.019468006883964085
reasoner,dialectical,amount,0.006835531759646487
reasoner,dialectical,amount,0.007046224701714452
reasoner,dialectical,amount,0.02353237405591007
reasoner,dialectical,amount,0.005828806222285982
reasoner,dialectical,amount,0.009390807690437585
reasoner,dialectical,amount,0.012072702922925203
reasoner,dialectical,amount,0.01447048179074254
reasoner,dialectical,amount,0.02112555470788404
reasoner,dialectical,amount,0.007535924200843266
reasoner,dialectical,amount,0.01986466565622896
reasoner,dialectical,amount,0.007221622874661487
reasoner,dialectical,amount,0.008737369929547755
reasoner,dialectical,amount,0.008786064401424145
reasoner,dialectical,amount,0.008053328067304046
reasoner,dialectical,amount,0.008087779109618762
reasoner,dialectical,amount,0.00565012091928636
reasoner,dialectical,amount,0.005676371732342042
reasoner,dialectical,amount,0.023967829243421928
reasoner,dialectical,amount,0.003929700703584818
reasoner,dialectical,amount,0.01089730456238939
reasoner,dialectical,amount,0.012450479897488438
reasoner,dialectical,amount,0.006055891833049672
reasoner,dialectical,amount,0.008263655592820583
reasoner,dialectical,amount,0.013255058165635172
reasoner,dialectical,amount,0.00996184673236266
reasoner,dialectical,amount,0.011979000140942051
reasoner,dialectical,amount,0.014959302369573548
reasoner,dialectical,amount,0.01679826229550901
reasoner,dialectical,amount,0.01333279435097867
reasoner,dialectical,amount,0.00735066126542385
reasoner,dialectical,amount,0.00815527340105733
reasoner,dialectical,amount,0.014648034739652238
reasoner,dialectical,amount,0.013160872760514744
reasoner,dialectical,amount,0.008459782173448161
reasoner,dialectical,amount,0.00805168922952885
reasoner,dialectical,amount,0.007735498507536796
reasoner,dialectical,amount,0.009515956521833718
reasoner,dialectical,amount,0.009204838811546153
reasoner,dialectical,amount,0.002811447742974123
reasoner,dialectical,amount,0.00941250759692065
reasoner,dialectical,amount,0.005820339646684413
reasoner,dialectical,amount,0.02424602197117918
reasoner,dialectical,amount,0.013611372056905845
reasoner,dialectical,amount,0.012541849729309865
reasoner,dialectical,amount,0.026029163242420446
