domain,model,outcome_type,n,primary_metric,primary_value,auroc,auprc,brier,log_loss,r2,spearman,mae,rmse
gpqa,M3,binary,2989,auroc,0.7501654825471074,0.7501654825471074,0.8367864560135447,0.1901958579771791,0.561735800982514,,,,
gpqa,M4,binary,2989,auroc,0.7533353926716974,0.7533353926716974,0.839440840229418,0.18967248470827358,0.5612790630322476,,,,
gpqa,M5,binary,2989,auroc,0.7500556511676939,0.7500556511676939,0.8368041142155065,0.19079471503717987,0.5640546900456113,,,,
planning,M0,binary,3225,auroc,0.7877050524828447,0.7877050524828447,0.9439051702356309,0.12677453223115676,0.39711428127979104,,,,
planning,M1-D,binary,3225,auroc,0.7948015700294349,0.7948015700294349,0.9456144865301959,0.1251044340777384,0.39228767410714027,,,,
planning,M1-E,binary,3225,auroc,0.791500323537655,0.791500323537655,0.9462772274010863,0.12684773373710087,0.3958755616062617,,,,
planning,M2,binary,3225,auroc,0.8010553397920318,0.8010553397920318,0.9484131263131721,0.12524524748109628,0.3906632857409348,,,,
planning,M3,binary,3225,auroc,0.8170307380145766,0.8170307380145766,0.9525494875586903,0.12205092271820824,0.379646861327616,,,,
planning,M4,binary,3225,auroc,0.8187265661224432,0.8187265661224432,0.9526140561505705,0.12163585504495529,0.37865416907961547,,,,
planning,M5,binary,3225,auroc,0.8185806189966329,0.8185806189966329,0.9521870549222163,0.12136698663964615,0.37870584860674833,,,,
moral,M0,continuous,3401,r2,0.3167411079845631,,,,,0.3167411079845631,0.4756268471610237,0.1231974940671016,0.15507335824284124
moral,M1-D,continuous,3401,r2,0.320843456578915,,,,,0.320843456578915,0.4822098818071636,0.12291994676902539,0.15460712007440383
moral,M1-E,continuous,3401,r2,0.3209110608280401,,,,,0.3209110608280401,0.4836593691826254,0.12293820906931004,0.15459942497194137
moral,M2,continuous,3401,r2,0.3221027854105817,,,,,0.3221027854105817,0.48450334806242357,0.12295851856635599,0.15446371311916493
moral,M3,continuous,3401,r2,0.32232843717252857,,,,,0.32232843717252857,0.4867844857457205,0.12315631542778138,0.15443800279811398
moral,M4,continuous,3401,r2,0.31982106866270943,,,,,0.31982106866270943,0.481886962136292,0.12343137257560015,0.15472344745824565
moral,M5,continuous,3401,r2,0.318678364252871,,,,,0.318678364252871,0.48168571777010516,0.12353427798667653,0.15485336104591202
idea,M0,continuous,2996,r2,0.6297950571535191,,,,,0.6297950571535191,0.7706022030921998,0.05675943935759679,0.07770168982702513
idea,M1-D,continuous,2996,r2,0.629827633298669,,,,,0.629827633298669,0.7721264643431733,0.056786614883089906,0.07769827107578856
idea,M1-E,continuous,2996,r2,0.6288009712071284,,,,,0.6288009712071284,0.7674924122934812,0.056859807305933374,0.07780594339737096
idea,M2,continuous,2996,r2,0.6289048419272604,,,,,0.6289048419272604,0.7714812573749105,0.05691885738815645,0.07779505661670513
idea,M3,continuous,2996,r2,0.6295790973665891,,,,,0.6295790973665891,0.7733337938197796,0.057179283152291115,0.07772435024011672
idea,M4,continuous,2996,r2,0.6287645763190415,,,,,0.6287645763190415,0.7734833523057422,0.057211190356664936,0.07780975761693439
idea,M5,continuous,2996,r2,0.6289534406951105,,,,,0.6289534406951105,0.7738023476044072,0.05725518276772318,0.07778996241430962
safety,M0,continuous,1906,r2,0.37500024382798813,,,,,0.37500024382798813,0.481973161890276,0.07516074398384373,0.147448811300433
safety,M1-D,continuous,1906,r2,0.36637824192451396,,,,,0.36637824192451396,0.47816227240992626,0.07587257041637757,0.14846237124795938
safety,M1-E,continuous,1906,r2,0.3770086547635071,,,,,0.3770086547635071,0.48215226570512726,0.0773307853561783,0.14721171033215694
safety,M2,continuous,1906,r2,0.3668966637388976,,,,,0.3668966637388976,0.47731499463971666,0.07819378402255736,0.14840162374321625
safety,M3,continuous,1906,r2,0.37727471831506887,,,,,0.37727471831506887,0.48065347326266045,0.07873205432388955,0.14718027181093918
safety,M4,continuous,1906,r2,0.37656390403614814,,,,,0.37656390403614814,0.47998370466275225,0.07904234428872095,0.14726424784714962
safety,M5,continuous,1906,r2,0.3766044704995757,,,,,0.3766044704995757,0.4800688895601768,0.08052434798927889,0.1472594565887136
security,M0,binary,2598,auroc,0.7299761226271224,0.7299761226271224,0.8372911357658492,0.18598845644990716,0.553065324523376,,,,
security,M1-D,binary,2598,auroc,0.7318363839535903,0.7318363839535903,0.8401107167302132,0.18589770001952674,0.5520623748344532,,,,
security,M1-E,binary,2598,auroc,0.7425903722900201,0.7425903722900201,0.8452380162875284,0.18333531581665063,0.5465015221025409,,,,
security,M2,binary,2598,auroc,0.7460398544940748,0.7460398544940748,0.8507990708598339,0.18317432801141123,0.5448542769023962,,,,
security,M3,binary,2598,auroc,0.7454169369712079,0.7454169369712079,0.8498910560581254,0.1834351138251616,0.5459128772041233,,,,
security,M4,binary,2598,auroc,0.7470051388997389,0.7470051388997389,0.8497391476569692,0.18345161596350062,0.5465428564002053,,,,
security,M5,binary,2598,auroc,0.744088906701628,0.744088906701628,0.8466245019846913,0.1844435108802869,0.5502366555648027,,,,
