split,prefix,feature_set,feature,coef
prompt_disjoint,0.5,temporal,bin2_backtracking,-0.26928711105600756
prompt_disjoint,0.5,temporal,task_type=gpqa,0.2664294197133033
prompt_disjoint,0.5,temporal,bin1_backward_chaining,-0.26496301063269756
prompt_disjoint,0.5,temporal,bin2_backward_chaining,-0.2638850732719047
prompt_disjoint,0.5,temporal,difficulty_raw=hard,-0.260523366948039
prompt_disjoint,0.5,temporal,difficulty_raw=Physics,0.22813702304285993
prompt_disjoint,0.5,temporal,bin3_backward_chaining,-0.21898559763660183
prompt_disjoint,0.5,temporal,bin1_backtracking,-0.217656815892286
prompt_disjoint,0.5,temporal,bin0_backtracking,-0.20197534934042946
prompt_disjoint,0.5,time_shuffled,task_type=math,-0.5725833198139578
prompt_disjoint,0.5,time_shuffled,gen_model=reasoner,0.44023092882341225
prompt_disjoint,0.5,time_shuffled,gen_model=qwen35_27b,0.42775167109687134
prompt_disjoint,0.5,time_shuffled,gen_model=qwen35_9b,0.37357898250917215
prompt_disjoint,0.5,time_shuffled,gen_model=qwen35_4b,0.34645594225509013
prompt_disjoint,0.5,time_shuffled,task_type=idea,0.30676276779280126
prompt_disjoint,0.5,time_shuffled,difficulty_raw=__missing__,0.2754821035184381
prompt_disjoint,0.5,time_shuffled,task_type=gpqa,0.26514793555566263
prompt_disjoint,0.5,time_shuffled,difficulty_raw=hard,-0.2594823318513957
prompt_disjoint,0.5,time_shuffled,difficulty_raw=Physics,0.22402067497314831
prompt_disjoint,0.5,time_shuffled,difficulty_raw=easy,0.15995850113233073
prompt_disjoint,0.5,time_shuffled,task_type=planning,0.14608863922567963
prompt_disjoint,0.5,time_shuffled,prefix_segments,-0.10234506161681757
prompt_disjoint,0.5,time_shuffled,difficulty_raw=progression_mcq,0.10151615004473215
prompt_disjoint,0.5,time_shuffled,difficulty_raw=4,0.09578212248148019
prompt_disjoint,0.5,time_shuffled,difficulty_raw=Chemistry,0.09532043807808738
prompt_disjoint,0.5,time_shuffled,difficulty_raw=landmarks_mcq,0.08880957821123331
prompt_disjoint,0.5,time_shuffled,difficulty_raw=Biology,0.0865148981236557
prompt_disjoint,0.5,time_shuffled,difficulty_raw=applicable_actions_mc,0.08073252609504149
prompt_disjoint,0.5,time_shuffled,difficulty_raw=medium,-0.07848259792650758
random_trace,0.5,metadata,task_type=math,-0.5026256527377686
random_trace,0.5,metadata,gen_model=qwen35_27b,0.40750483734918896
random_trace,0.5,metadata,gen_model=qwen35_9b,0.3272017307979478
random_trace,0.5,metadata,task_type=idea,0.30048993969325916
random_trace,0.5,metadata,difficulty_raw=hard,-0.29707354762963
random_trace,0.5,metadata,gen_model=qwen35_4b,0.27863031926803056
random_trace,0.5,metadata,gen_model=reasoner,0.2743045578506272
random_trace,0.5,metadata,difficulty_raw=__missing__,0.26615307865195464
random_trace,0.5,metadata,task_type=gpqa,0.20644824463799205
random_trace,0.5,metadata,difficulty_raw=Physics,0.20537700484436566
