gen_model,model_label,task_type,domain,outcome_kind,n,outcome_unique,signature_family,status,baseline_columns,primary_metric,baseline_metric,amount_metric,full_metric,amount_gain,amount_gain_ci_low,amount_gain_ci_high,amount_p_value,timing_gain,timing_gain_ci_low,timing_gain_ci_high,timing_p_value,gain_unit,amount_q_value,timing_q_value,amount_supported,timing_supported
reasoner,DeepSeek-R1 Distill 8B,idea,Idea,continuous,493,14,cognitive,estimated,log_tokens|log_segments,R2,-0.0054773018067020285,-0.013953366956005908,-0.011836544691524509,-0.00847606514930407,-0.02190469753133121,0.005207416901666472,0.8621378621378621,0.002116822264481457,-0.03396029521901956,0.03552504924455057,0.46653346653346656,delta R2,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,continuous,312,9,conversational,estimated,"log_tokens|log_segments|prompt_stratum_Disinformation and deception|prompt_stratum_Hate, harassment and discrimination|prompt_stratum_Illegal goods and services|prompt_stratum_Non-violent crimes|prompt_stratum_Sexual content|prompt_stratum_Violence",R2,0.1035484088870684,0.07742898155951772,0.06430228818553807,-0.026119427327550796,-0.05837248319301657,0.006232698399034003,0.935064935064935,-0.013126693373979644,-0.0566588955442212,0.02655179018858439,0.7222777222777222,delta R2,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,safety,Safety,continuous,312,9,cognitive,estimated,"log_tokens|log_segments|prompt_stratum_Disinformation and deception|prompt_stratum_Hate, harassment and discrimination|prompt_stratum_Illegal goods and services|prompt_stratum_Non-violent crimes|prompt_stratum_Sexual content|prompt_stratum_Violence",R2,0.1035484088870684,0.13802970451316843,0.13119160401733798,0.03448129562609998,-0.017654768011086997,0.09161717924062218,0.13386613386613386,-0.006838100495830501,-0.06303338737816766,0.05160555798582794,0.5884115884115884,delta R2,0.47120879120879117,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,security,Security,binary,335,2,conversational,estimated,log_tokens|log_segments,AUROC,0.6465890431407673,0.6184505150022391,0.581765935214211,-0.009784394948491787,-0.025951274880352045,0.005039514477945429,0.8821178821178821,-0.03168039223774393,-0.057915819398791216,-0.0038902959096209105,0.991008991008991,bits/trace,1.0,1.0,False,False
reasoner,DeepSeek-R1 Distill 8B,security,Security,binary,335,2,cognitive,estimated,log_tokens|log_segments,AUROC,0.6465890431407673,0.6434169278996865,0.6424093148231079,0.008939454935040449,-0.01519785432940278,0.03217058221247498,0.21978021978021978,-0.012777420337291318,-0.044761748564588894,0.01676486854846478,0.7942057942057942,bits/trace,0.6669192876089427,1.0,False,False
gemma4_e4b,Gemma 4 E4B,math,Math,binary,485,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_1|prompt_stratum_2|prompt_stratum_3|prompt_stratum_4|prompt_stratum_5,AUROC,0.5148463634169052,0.5261061489119564,0.5317791495671966,-0.0080844078194973,-0.024157639252996712,0.006904030088243911,0.8301698301698301,-0.012241480885696456,-0.03702538756737824,0.013507886756269367,0.8141858141858141,bits/trace,1.0,1.0,False,False
gemma4_e4b,Gemma 4 E4B,math,Math,binary,485,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_1|prompt_stratum_2|prompt_stratum_3|prompt_stratum_4|prompt_stratum_5,AUROC,0.5148463634169052,0.4907749077490775,0.48858502603717624,-0.013645051923679574,-0.025498883520759918,-0.0012569245035266652,0.986013986013986,-0.02318526145484177,-0.045078149503796475,-0.0017509442496008634,0.985014985014985,bits/trace,1.0,1.0,False,False
gemma4_e4b,Gemma 4 E4B,code,Code,binary,172,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_easy|prompt_stratum_hard|prompt_stratum_medium,AUROC,0.8746612466124661,0.8991869918699187,0.9037940379403794,0.07646462718633171,0.002179768557427482,0.1456457710803847,0.01998001998001998,-0.0019425552919176007,-0.05877394085694549,0.05484368149671187,0.5344655344655345,bits/trace,0.29304029304029305,1.0,False,False
gemma4_e4b,Gemma 4 E4B,code,Code,binary,172,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_easy|prompt_stratum_hard|prompt_stratum_medium,AUROC,0.8746612466124661,0.8787262872628726,0.867750677506775,0.009425714832662357,-0.050307284124314414,0.06189083602325624,0.37362637362637363,-0.05279705018927497,-0.10263701674442662,-0.008232057003273624,0.984015984015984,bits/trace,0.8886248886248885,1.0,False,False
gemma4_e4b,Gemma 4 E4B,gpqa,GPQA,binary,477,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_Biology|prompt_stratum_Chemistry|prompt_stratum_Physics,AUROC,0.6006257070135747,0.5856016685520362,0.5868919683257918,-0.01020329133549101,-0.025591721786610754,0.005618692593508429,0.9120879120879121,-0.008848500449224748,-0.03641486821375626,0.01916979162853496,0.7352647352647352,bits/trace,1.0,1.0,False,False
gemma4_e4b,Gemma 4 E4B,gpqa,GPQA,binary,477,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_Biology|prompt_stratum_Chemistry|prompt_stratum_Physics,AUROC,0.6006257070135747,0.6359587104072398,0.6531391402714932,0.01874320252514769,-0.009695946585531093,0.04683670761993673,0.07992007992007992,0.003677173514980214,-0.024949823807425657,0.0308061782051871,0.4125874125874126,bits/trace,0.37015615962984383,1.0,False,False
gemma4_e4b,Gemma 4 E4B,planning,Planning,binary,488,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_applicable_actions_mc|prompt_stratum_landmarks_mcq|prompt_stratum_progression_mcq|prompt_stratum_reachable_atom_mc|prompt_stratum_validation_mcq,AUROC,0.7546875,0.7805759803921568,0.805514705882353,0.02017692014393562,-0.009387959111806664,0.04573392737490076,0.07492507492507493,0.027345713751522487,-0.004311767630793495,0.0568445592775189,0.04195804195804196,bits/trace,0.36630036630036633,1.0,False,False
gemma4_e4b,Gemma 4 E4B,planning,Planning,binary,488,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_applicable_actions_mc|prompt_stratum_landmarks_mcq|prompt_stratum_progression_mcq|prompt_stratum_reachable_atom_mc|prompt_stratum_validation_mcq,AUROC,0.7546875,0.7849264705882353,0.80625,0.028525924279665098,-0.005739326657677971,0.06123796123145988,0.04295704295704296,0.01365197093461888,-0.025512043939163637,0.0502981447938738,0.25374625374625376,bits/trace,0.3436563436563437,1.0,False,False
gemma4_e4b,Gemma 4 E4B,moral,Moral,continuous,500,389,conversational,estimated,log_tokens|log_segments,R2,-0.014714409997705014,0.023821874815909916,0.0019200519891532375,0.038536284813614756,-0.007103577150045507,0.08600620004309034,0.06293706293706294,-0.021901822826756536,-0.04980997743140688,0.0046446234506905895,0.9330669330669331,delta R2,0.3516483516483517,1.0,False,False
gemma4_e4b,Gemma 4 E4B,moral,Moral,continuous,500,389,cognitive,estimated,log_tokens|log_segments,R2,-0.014714409997705014,-0.006722071329595458,-0.005273203010911276,0.00799233866810955,-0.021270373958116456,0.03771722467232457,0.3066933066933067,0.0014488683186841779,-0.031116902339189602,0.03160246328683023,0.4695304695304695,delta R2,0.7711145996860282,1.0,False,False
gemma4_e4b,Gemma 4 E4B,idea,Idea,continuous,500,9,conversational,estimated,log_tokens|log_segments,R2,0.011380428069616477,0.0038491693327693532,-0.003232117256078526,-0.0075312587368472975,-0.030569081143144248,0.015880142466817918,0.7492507492507493,-0.007081286588848002,-0.03890945385030106,0.022811267975591652,0.6533466533466533,delta R2,1.0,1.0,False,False
gemma4_e4b,Gemma 4 E4B,idea,Idea,continuous,500,9,cognitive,estimated,log_tokens|log_segments,R2,0.011380428069616477,0.0027572435137036555,0.0012897415869975726,-0.00862318455591294,-0.025068754669961897,0.007884413461668516,0.8421578421578422,-0.001467501926706146,-0.02492518129413743,0.02339323782225186,0.5394605394605395,delta R2,1.0,1.0,False,False
gemma4_e4b,Gemma 4 E4B,safety,Safety,continuous,57,2,conversational,insufficient_outcome_variation,,,,,,,,,,,,,,,,,False,False
gemma4_e4b,Gemma 4 E4B,safety,Safety,continuous,57,2,cognitive,insufficient_outcome_variation,,,,,,,,,,,,,,,,,False,False
gemma4_e4b,Gemma 4 E4B,security,Security,binary,472,2,conversational,estimated,log_tokens|log_segments,AUROC,0.6015813707729468,0.6303592995169082,0.6169233091787439,0.00318262680891244,-0.022587780547200054,0.027377824504782045,0.3906093906093906,-0.011987631912351587,-0.031431413467570106,0.006844003938857354,0.8821178821178821,bits/trace,0.9045691150954308,1.0,False,False
gemma4_e4b,Gemma 4 E4B,security,Security,binary,472,2,cognitive,estimated,log_tokens|log_segments,AUROC,0.6015813707729468,0.6826690821256038,0.6769701086956522,0.04543658733166234,0.011655433937877328,0.08199599081667622,0.006993006993006993,-0.010263335037364207,-0.03766549666233283,0.014899444763632766,0.7892107892107892,bits/trace,0.26373626373626374,1.0,False,False
gemma4_31b,Gemma 4 31B,math,Math,binary,499,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_1|prompt_stratum_2|prompt_stratum_3|prompt_stratum_4|prompt_stratum_5,AUROC,0.6397558540277644,0.6400296324926724,0.6437175894611395,0.0007911916274320488,-0.015998080304911382,0.01836877650993854,0.46353646353646355,-0.008032387261269992,-0.032521554065606854,0.014710516373040787,0.7392607392607392,bits/trace,0.9270729270729272,1.0,False,False
gemma4_31b,Gemma 4 31B,math,Math,binary,499,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_1|prompt_stratum_2|prompt_stratum_3|prompt_stratum_4|prompt_stratum_5,AUROC,0.6397558540277644,0.6455696202531646,0.6202853737881276,-5.181358668352349e-05,-0.02900863161519788,0.021156354409639828,0.5014985014985015,-0.02113659103370676,-0.03422684243870505,-0.008939004664528396,0.999000999000999,bits/trace,0.9311504821708904,1.0,False,False
gemma4_31b,Gemma 4 31B,code,Code,binary,174,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_easy|prompt_stratum_hard|prompt_stratum_medium,AUROC,0.8425373134328358,0.8305970149253732,0.8264925373134329,-0.021050227531304894,-0.06905641197252597,0.027504372956957984,0.7822177822177823,-0.038054125632686855,-0.10737718424160625,0.021869120684768067,0.8691308691308691,bits/trace,1.0,1.0,False,False
gemma4_31b,Gemma 4 31B,code,Code,binary,174,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_easy|prompt_stratum_hard|prompt_stratum_medium,AUROC,0.8425373134328358,0.8694029850746269,0.8542910447761194,0.042435468273772134,-0.009368822650796858,0.0895753458150917,0.06793206793206794,-0.043666047887150665,-0.10712497791700054,0.014535517465243598,0.9210789210789211,bits/trace,0.3516483516483517,1.0,False,False
gemma4_31b,Gemma 4 31B,gpqa,GPQA,binary,493,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_Biology|prompt_stratum_Chemistry|prompt_stratum_Physics,AUROC,0.7536796536796537,0.751972101972102,0.7457912457912458,-0.004422745088849788,-0.019652769553227204,0.008635054700146447,0.7372627372627373,-0.00453664943140257,-0.023194699843194926,0.015243751841819999,0.6763236763236763,bits/trace,1.0,1.0,False,False
gemma4_31b,Gemma 4 31B,gpqa,GPQA,binary,493,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_Biology|prompt_stratum_Chemistry|prompt_stratum_Physics,AUROC,0.7536796536796537,0.7614237614237614,0.7355940355940356,0.0031794331905964234,-0.01998911539245794,0.022829249434874514,0.43156843156843155,-0.033130598467705726,-0.054480518902541776,-0.01517730402888826,1.0,bits/trace,0.9097878865320724,1.0,False,False
gemma4_31b,Gemma 4 31B,planning,Planning,binary,500,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_applicable_actions_mc|prompt_stratum_landmarks_mcq|prompt_stratum_progression_mcq|prompt_stratum_reachable_atom_mc|prompt_stratum_validation_mcq,AUROC,0.8979984868285301,0.9156063002957563,0.9062521493912924,0.020995228194249514,0.0008944918952624,0.041454295894766235,0.03296703296703297,-0.010120889682160576,-0.030565219290299712,0.01046212603217803,0.8241758241758241,bits/trace,0.3164835164835165,1.0,False,False
gemma4_31b,Gemma 4 31B,planning,Planning,binary,500,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_applicable_actions_mc|prompt_stratum_landmarks_mcq|prompt_stratum_progression_mcq|prompt_stratum_reachable_atom_mc|prompt_stratum_validation_mcq,AUROC,0.8979984868285301,0.909484833895041,0.9040511727078892,0.013621131682421267,-0.00402113675465003,0.03302696342008486,0.0939060939060939,0.004035708701430224,-0.01770939792559047,0.023724075143440455,0.3726273726273726,bits/trace,0.41318681318681316,1.0,False,False
gemma4_31b,Gemma 4 31B,moral,Moral,continuous,500,388,conversational,estimated,log_tokens|log_segments,R2,0.01910269532549802,0.01241025609255808,0.0041384542818506675,-0.006692439232939783,-0.018380307863720115,0.005499157963634345,0.8571428571428571,-0.00827180181070727,-0.04627386425350006,0.026872863763881465,0.6773226773226774,delta R2,1.0,1.0,False,False
gemma4_31b,Gemma 4 31B,moral,Moral,continuous,500,388,cognitive,estimated,log_tokens|log_segments,R2,0.01910269532549802,0.03196412173533669,0.02203636596561842,0.012861426409838663,-0.013425185208140835,0.03914038954420377,0.1888111888111888,-0.009927755769718164,-0.029875613169651958,0.010347011030041394,0.8351648351648352,delta R2,0.609105180533752,1.0,False,False
gemma4_31b,Gemma 4 31B,idea,Idea,continuous,500,8,conversational,estimated,log_tokens|log_segments,R2,0.014373984668070161,0.012342806482855795,0.02585970979547514,-0.0020311781852144118,-0.018249680795676702,0.013930841847683777,0.5854145854145855,0.013516903312619226,-0.021817152098032037,0.046464438715185304,0.2127872127872128,delta R2,0.9869375907111756,1.0,False,False
gemma4_31b,Gemma 4 31B,idea,Idea,continuous,500,8,cognitive,estimated,log_tokens|log_segments,R2,0.014373984668070161,0.003167417400021355,-0.01066487281138162,-0.011206567268048776,-0.020948394629167397,-0.0014324108368932293,0.9920079920079921,-0.013832290211403015,-0.03589567546103742,0.006324082001428583,0.8781218781218781,delta R2,1.0,1.0,False,False
gemma4_31b,Gemma 4 31B,safety,Safety,continuous,313,4,conversational,estimated,"log_tokens|log_segments|prompt_stratum_Disinformation and deception|prompt_stratum_Hate, harassment and discrimination|prompt_stratum_Illegal goods and services|prompt_stratum_Non-violent crimes|prompt_stratum_Sexual content|prompt_stratum_Violence",R2,0.008653500222433608,0.003976207455875014,-0.3201128195423373,-0.004677292766558741,-0.05437911930527026,0.0502145425841221,0.5674325674325674,-0.3240890269982122,-0.8152215404189801,0.11904213204387054,0.8851148851148851,delta R2,0.9790993320405085,1.0,False,False
gemma4_31b,Gemma 4 31B,safety,Safety,continuous,313,4,cognitive,estimated,"log_tokens|log_segments|prompt_stratum_Disinformation and deception|prompt_stratum_Hate, harassment and discrimination|prompt_stratum_Illegal goods and services|prompt_stratum_Non-violent crimes|prompt_stratum_Sexual content|prompt_stratum_Violence",R2,0.008653500222433608,-0.042062598728092704,-0.1355592529010896,-0.05071609895052655,-0.1076188078532295,-0.012930294591541873,0.999000999000999,-0.09349665417299687,-0.21971929638763688,0.010735943781206424,0.9470529470529471,delta R2,1.0,1.0,False,False
gemma4_31b,Gemma 4 31B,security,Security,binary,493,2,conversational,estimated,log_tokens|log_segments,AUROC,0.6243952783332258,0.5930787589498807,0.5739856801909308,-0.016117388961002614,-0.02873517182297538,-0.0030033979071303995,0.996003996003996,-0.012332112769631847,-0.029018523513683205,0.005172287524413731,0.9150849150849151,bits/trace,1.0,1.0,False,False
gemma4_31b,Gemma 4 31B,security,Security,binary,493,2,cognitive,estimated,log_tokens|log_segments,AUROC,0.6243952783332258,0.6600335418951171,0.6223311617106366,0.007032826624657875,-0.015098335221266862,0.028308615862967245,0.25074925074925075,-0.028029063659099636,-0.05303857740165996,-0.003251692263789616,0.995004995004995,bits/trace,0.7118043247075505,1.0,False,False
qwen35_4b,Qwen3.5 4B,math,Math,binary,408,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_1|prompt_stratum_2|prompt_stratum_3|prompt_stratum_4|prompt_stratum_5,AUROC,0.5861220353704731,0.5972205467223201,0.5962795859772722,-0.00023634957129218628,-0.026951574746294837,0.024892704383733148,0.5394605394605395,0.0008757051914883565,-0.023244169512630884,0.02193331903273249,0.4695304695304695,bits/trace,0.9494505494505495,1.0,False,False
qwen35_4b,Qwen3.5 4B,math,Math,binary,408,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_1|prompt_stratum_2|prompt_stratum_3|prompt_stratum_4|prompt_stratum_5,AUROC,0.5861220353704731,0.5773638622819505,0.5490626583347408,-0.01053485651093348,-0.03238026418839688,0.010227404119791592,0.7932067932067932,-0.028226785976128186,-0.045077909030433336,-0.011629129011574774,0.998001998001998,bits/trace,1.0,1.0,False,False
qwen35_4b,Qwen3.5 4B,code,Code,binary,92,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_easy|prompt_stratum_hard|prompt_stratum_medium,AUROC,0.7637051039697542,0.7681159420289855,0.7655954631379962,-0.015887571151618093,-0.12995434976941603,0.07339393292381129,0.6293706293706294,-0.09572373238265727,-0.25056645396183375,0.04059463505949395,0.8861138861138861,bits/trace,1.0,1.0,False,False
qwen35_4b,Qwen3.5 4B,code,Code,binary,92,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_easy|prompt_stratum_hard|prompt_stratum_medium,AUROC,0.7637051039697542,0.7914303717706365,0.7920604914933838,0.007311000759503505,-0.07523235835240275,0.08389615167695254,0.44455544455544455,-0.048312912594822996,-0.17369494930160123,0.07003482240860026,0.7532467532467533,bits/trace,0.9097878865320724,1.0,False,False
qwen35_4b,Qwen3.5 4B,gpqa,GPQA,binary,316,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_Biology|prompt_stratum_Chemistry|prompt_stratum_Physics,AUROC,0.5884155684952498,0.5785473490652774,0.5048115231382163,-0.01724252225471674,-0.04183442774007769,0.005010596541983091,0.8931068931068931,-0.05774925219408883,-0.08613296613867576,-0.034662753856320686,1.0,bits/trace,1.0,1.0,False,False
qwen35_4b,Qwen3.5 4B,gpqa,GPQA,binary,316,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_Biology|prompt_stratum_Chemistry|prompt_stratum_Physics,AUROC,0.5884155684952498,0.604658289917254,0.5699662886913883,-7.015398477784894e-05,-0.02539590606511264,0.02535460912793514,0.4985014985014985,-0.024390683606915556,-0.04970536729348355,-0.000391284848728259,0.972027972027972,bits/trace,0.9311504821708904,1.0,False,False
qwen35_4b,Qwen3.5 4B,planning,Planning,binary,429,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_applicable_actions_mc|prompt_stratum_landmarks_mcq|prompt_stratum_progression_mcq|prompt_stratum_reachable_atom_mc|prompt_stratum_validation_mcq,AUROC,0.8198558495209634,0.8340072075239519,0.8383580908851191,0.013207320409718091,-0.01836709122529832,0.04495520818981521,0.1938061938061938,-0.012285459771153875,-0.04778986901155986,0.022358838715973346,0.7312687312687313,bits/trace,0.609105180533752,1.0,False,False
qwen35_4b,Qwen3.5 4B,planning,Planning,binary,429,2,cognitive,estimated,log_tokens|log_segments|prompt_stratum_applicable_actions_mc|prompt_stratum_landmarks_mcq|prompt_stratum_progression_mcq|prompt_stratum_reachable_atom_mc|prompt_stratum_validation_mcq,AUROC,0.8198558495209634,0.8265799419882218,0.8256130790190735,0.01062490608884064,-0.019133589294329536,0.037284808016283935,0.23376623376623376,-0.007421994107222735,-0.024653574999363447,0.008982835564360121,0.7622377622377622,bits/trace,0.6857142857142856,1.0,False,False
qwen35_4b,Qwen3.5 4B,moral,Moral,continuous,420,308,conversational,estimated,log_tokens|log_segments,R2,-0.01961861837681811,-0.03939221218672562,-0.025944801082276037,-0.019773593809907477,-0.05316381440760119,0.0071339816105033624,0.8851148851148851,0.013447411104449579,-0.024082156935312175,0.052624927588258326,0.27472527472527475,delta R2,1.0,1.0,False,False
qwen35_4b,Qwen3.5 4B,moral,Moral,continuous,420,308,cognitive,estimated,log_tokens|log_segments,R2,-0.01961861837681811,0.025848188266111793,0.02629598163565794,0.04546680664292989,-0.002879397113806198,0.10003889070687114,0.06693306693306693,0.00044779336954600706,-0.03047449260758498,0.029934493555362252,0.5044955044955045,delta R2,0.3516483516483517,1.0,False,False
qwen35_4b,Qwen3.5 4B,idea,Idea,continuous,161,6,conversational,estimated,log_tokens|log_segments,R2,0.0320213048895569,-0.018375920820697944,-0.08583986478096861,-0.050397225710254706,-0.09379408263252381,-0.015004551723095911,0.997002997002997,-0.06746394396027101,-0.11950733956768915,-0.016367558383128714,0.9920079920079921,delta R2,1.0,1.0,False,False
qwen35_4b,Qwen3.5 4B,idea,Idea,continuous,161,6,cognitive,estimated,log_tokens|log_segments,R2,0.0320213048895569,0.0004438008141836036,-0.10180924524608548,-0.031577504075373346,-0.06998833081758915,0.011430634357280058,0.9400599400599401,-0.10225304606026882,-0.18678711014296137,-0.022276772422729775,0.995004995004995,delta R2,1.0,1.0,False,False
qwen35_4b,Qwen3.5 4B,safety,Safety,continuous,291,1,conversational,insufficient_outcome_variation,,,,,,,,,,,,,,,,,False,False
qwen35_4b,Qwen3.5 4B,safety,Safety,continuous,291,1,cognitive,insufficient_outcome_variation,,,,,,,,,,,,,,,,,False,False
qwen35_4b,Qwen3.5 4B,security,Security,binary,182,2,conversational,estimated,log_tokens|log_segments,AUROC,0.7157436841224695,0.7388321900619039,0.7550610674251297,-0.0007102272946677375,-0.07541960428563317,0.061129459674585974,0.5164835164835165,-0.004062251205711759,-0.07311232473149315,0.06773017876968339,0.5384615384615384,bits/trace,0.9311504821708904,1.0,False,False
qwen35_4b,Qwen3.5 4B,security,Security,binary,182,2,cognitive,estimated,log_tokens|log_segments,AUROC,0.7157436841224695,0.749372594947298,0.703195583068429,0.018643615255214564,-0.05710202352269534,0.08433458515333711,0.3036963036963037,-0.05784575430984504,-0.11866332366613666,4.4387766038877344e-05,0.971028971028971,bits/trace,0.7711145996860282,1.0,False,False
qwen35_9b,Qwen3.5 9B,math,Math,binary,438,2,conversational,estimated,log_tokens|log_segments|prompt_stratum_1|prompt_stratum_2|prompt_stratum_3|prompt_stratum_4|prompt_stratum_5,AUROC,0.5927521008403361,0.5772058823529411,0.572983193277311,-0.009633948239789455,-0.02320279069519476,0.004932327411700526,0.8951048951048951,-0.005943506619901363,-0.025690102794342633,0.012518656486543246,0.7642357642357642,bits/trace,1.0,1.0,False,False
