gen_model,model_label,task_type,signature_family,high_n,low_n,incomplete_n,n,status,length_auroc,amount_auroc,full_auroc,amount_gain_bits,amount_gain_ci_low,amount_gain_ci_high,amount_p_value,timing_gain_bits,timing_gain_ci_low,timing_gain_ci_high,timing_p_value,amount_q_value,timing_q_value,amount_supported,timing_supported
gemma4_31b,Gemma 4 31B,planning,conversational,469,31,0,500,estimated,0.8341701630098356,0.8492330971868767,0.8438682165210812,0.007588213522194915,-0.010197819008430184,0.024019531608798973,0.18281718281718282,-0.001557441232807092,-0.03327136331300738,0.0263459348320064,0.5324675324675324,0.5421475076647491,1.0,False,False
gemma4_31b,Gemma 4 31B,planning,cognitive,469,31,0,500,estimated,0.8341701630098356,0.8682165210812298,0.8523282206479125,0.013927211599254466,-2.2041716850946687e-05,0.02686557625067899,0.029970029970029972,-0.003477390873431765,-0.029717235259753387,0.01851610784930775,0.6143856143856143,0.24212151484878755,1.0,False,False
gemma4_31b,Gemma 4 31B,safety,conversational,309,4,0,313,insufficient_high_low_support,,,,,,,,,,,,,,False,False
gemma4_31b,Gemma 4 31B,safety,cognitive,309,4,0,313,insufficient_high_low_support,,,,,,,,,,,,,,False,False
gemma4_31b,Gemma 4 31B,security,conversational,419,74,0,493,estimated,0.6243952783332258,0.5930787589498807,0.5739856801909308,-0.016117388961002656,-0.02968573323716487,-0.003264836414080323,0.991008991008991,-0.012332112769721468,-0.028397579150588426,0.004964169597291388,0.919080919080919,1.0,1.0,False,False
gemma4_31b,Gemma 4 31B,security,cognitive,419,74,0,493,estimated,0.6243952783332258,0.6600335418951171,0.6223311617106366,0.007032826624657795,-0.01407063329926552,0.02867728420246853,0.2787212787212787,-0.028029063658871582,-0.05477643445289801,-0.004607755912775569,0.989010989010989,0.7263645445463627,1.0,False,False
gemma4_e4b,Gemma 4 E4B,code,conversational,90,82,0,172,estimated,0.87710027100271,0.8941734417344174,0.8962059620596206,0.0556286304260617,-0.007432992914375147,0.1249867157379262,0.06493506493506493,0.004334991872210759,-0.04952610698249445,0.053643821839570296,0.45054945054945056,0.3487101134159958,1.0,False,False
gemma4_e4b,Gemma 4 E4B,code,cognitive,90,82,0,172,estimated,0.87710027100271,0.8780487804878049,0.8643631436314363,0.007280498322656093,-0.04628859035855657,0.06211218190097261,0.4155844155844156,-0.041395121079757555,-0.08441696420033014,-0.0034423651938686804,0.962037962037962,0.8259467804922351,1.0,False,False
gemma4_e4b,Gemma 4 E4B,gpqa,conversational,256,221,0,477,estimated,0.5870598840497737,0.5728223981900452,0.5786906108597285,-0.009029994642429151,-0.02319784355126056,0.005360605541145662,0.8951048951048951,-0.009973264687557836,-0.03826326499243357,0.01518929051757968,0.7802197802197802,1.0,1.0,False,False
gemma4_e4b,Gemma 4 E4B,gpqa,cognitive,256,221,0,477,estimated,0.5870598840497737,0.6308328619909502,0.6434177036199095,0.017879334252670274,-0.009687528217656463,0.04585505709599467,0.13486513486513488,0.0010864540762793918,-0.025368924135169772,0.027392200984448032,0.45054945054945056,0.46393606393606396,1.0,False,False
